"f1";"f2"
36;""
33;"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.9102,41.97402 -87.9102,41.96902 -87.9102,41.96382 -87.9102,41.95882 -87.9,41.95882 -87.9,41.96382 -87.9,41.96902 -87.895,41.96902 -87.89,41.96902 -87.89,41.96402 -87.89,41.95882 -87.89,41.95382 -87.895,41.95382 -87.895,41.94882 -87.9052,41.94882 -87.9052,41.95382 -87.91,41.95382 -87.9102,41.95382 -87.915,41.95382 -87.9152,41.95382 -87.9202,41.95382 -87.9252,41.95382 -87.9252,41.95882 -87.9302,41.95882 -87.9352,41.95882 -87.9352,41.96902 -87.9302,41.96902 -87.9302,41.97382 -87.9252,41.97382 -87.92,41.97382 -87.915,41.97382 -87.915,41.97402 -87.9102,41.97402</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.9402,41.98882 -87.9352,41.98882 -87.9352,41.98382 -87.9352,41.97882 -87.9402,41.97882 -87.9402,41.98382 -87.9402,41.98882</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.9052,42.00902 -87.9052,42.00402 -87.9052,41.99902 -87.91,41.99902 -87.9102,41.99902 -87.915,41.99902 -87.9152,41.99902 -87.92,41.99902 -87.9202,41.99902 -87.925,41.99902 -87.9252,41.99902 -87.93,41.99902 -87.9302,41.99902 -87.9352,41.99902 -87.9402,41.99902 -87.9402,42.00402 -87.9352,42.00402 -87.9302,42.00402 -87.93,42.00402 -87.9252,42.00402 -87.9252,42.00902 -87.9202,42.00902 -87.9152,42.00902 -87.915,42.00902 -87.9102,42.00902 -87.91,42.00902 -87.9052,42.00902</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5352,41.65382 -87.5352,41.65882 -87.5352,41.66382 -87.5352,41.66402 -87.5352,41.66902 -87.5352,41.67402 -87.5302,41.67402 -87.5302,41.67902 -87.52,41.67902 -87.52,41.67402 -87.52,41.66902 -87.52,41.66882 -87.52,41.66382 -87.52,41.65882 -87.525,41.65882 -87.525,41.65382 -87.5352,41.65382</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
30;"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5302,41.67902 -87.5302,41.67402 -87.5352,41.67402 -87.5352,41.66902 -87.5352,41.66402 -87.5352,41.66382 -87.5352,41.65882 -87.5352,41.65382 -87.525,41.65382 -87.525,41.65882 -87.52,41.65882 -87.52,41.65402 -87.52,41.65382 -87.52,41.64882 -87.52,41.64382 -87.525,41.64382 -87.53,41.64382 -87.5302,41.64382 -87.535,41.64382 -87.5352,41.64382 -87.5402,41.64382 -87.5452,41.64382 -87.5452,41.64882 -87.5452,41.65382 -87.5452,41.65402 -87.5452,41.65882 -87.5502,41.65882 -87.5502,41.66882 -87.5502,41.66902 -87.5502,41.67382 -87.5552,41.67382 -87.5552,41.68402 -87.5502,41.68402 -87.545,41.68402 -87.54,41.68402 -87.54,41.67902 -87.5352,41.67902 -87.535,41.67902 -87.5302,41.67902</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.9152,41.95382 -87.915,41.95382 -87.9102,41.95382 -87.91,41.95382 -87.9052,41.95382 -87.9052,41.94882 -87.9102,41.94882 -87.9152,41.94882 -87.9152,41.95382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.9302,41.95882 -87.9252,41.95882 -87.9252,41.95382 -87.9302,41.95382 -87.9302,41.95882</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.9402,41.97882 -87.9352,41.97882 -87.9302,41.97882 -87.9302,41.97402 -87.9302,41.97382 -87.9302,41.96902 -87.9352,41.96902 -87.9352,41.96382 -87.9402,41.96382 -87.9402,41.96882 -87.9402,41.97382 -87.9402,41.97402 -87.9402,41.97882</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.9252,42.00902 -87.9252,42.00402 -87.93,42.00402 -87.9302,42.00402 -87.9352,42.00402 -87.9402,42.00402 -87.9402,42.00902 -87.9352,42.00902 -87.9302,42.00902 -87.93,42.00902 -87.9252,42.00902</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.91,41.97882 -87.91,41.98382 -87.9052,41.98382 -87.905,41.98382 -87.9002,41.98382 -87.9,41.98382 -87.895,41.98382 -87.89,41.98382 -87.89,41.98882 -87.89,41.99382 -87.89,41.99402 -87.89,41.99882 -87.89,41.99902 -87.885,41.99902 -87.88,41.99902 -87.88,41.99402 -87.875,41.99402 -87.875,41.98382 -87.88,41.98382 -87.885,41.98382 -87.885,41.97382 -87.8952,41.97382 -87.8952,41.97882 -87.9,41.97882 -87.9002,41.97882 -87.9052,41.97882 -87.91,41.97882</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.89,41.95382 -87.89,41.95882 -87.89,41.96402 -87.885,41.96402 -87.88,41.96402 -87.88,41.95382 -87.885,41.95382 -87.89,41.95382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.895,41.94882 -87.895,41.95382 -87.89,41.95382 -87.89,41.94882 -87.895,41.94882</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.6152,41.64382 -87.6152,41.65402 -87.605,41.65402 -87.605,41.64382 -87.6152,41.64382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.7402,41.67882 -87.7402,41.68382 -87.7402,41.68902 -87.7402,41.69402 -87.7352,41.69402 -87.7302,41.69402 -87.73,41.69402 -87.725,41.69402 -87.7202,41.69402 -87.7202,41.70402 -87.71,41.70402 -87.71,41.69382 -87.72,41.69382 -87.72,41.68382 -87.725,41.68382 -87.725,41.67882 -87.73,41.67882 -87.7352,41.67882 -87.7402,41.67882</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5702,41.64382 -87.5702,41.64882 -87.5702,41.65402 -87.5702,41.65882 -87.575,41.65882 -87.575,41.65382 -87.5852,41.65382 -87.5852,41.66402 -87.5752,41.66402 -87.5752,41.66902 -87.5702,41.66902 -87.5702,41.67402 -87.56,41.67402 -87.56,41.66382 -87.565,41.66382 -87.565,41.65902 -87.56,41.65902 -87.56,41.65402 -87.555,41.65402 -87.555,41.64382 -87.56,41.64382 -87.5652,41.64382 -87.5702,41.64382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.8552,41.97882 -87.8552,41.98902 -87.845,41.98902 -87.845,41.97882 -87.8552,41.97882</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
27;"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.61,41.65402 -87.6152,41.65402 -87.6152,41.64382 -87.6202,41.64382 -87.6202,41.64882 -87.6202,41.65402 -87.6202,41.65882 -87.625,41.65882 -87.625,41.65382 -87.63,41.65382 -87.6352,41.65382 -87.6402,41.65382 -87.6402,41.66382 -87.6402,41.66402 -87.6402,41.67402 -87.6352,41.67402 -87.6352,41.67902 -87.6302,41.67902 -87.625,41.67902 -87.62,41.67902 -87.62,41.67402 -87.62,41.66902 -87.6152,41.66902 -87.6152,41.67402 -87.605,41.67402 -87.605,41.66902 -87.605,41.66382 -87.605,41.65882 -87.61,41.65882 -87.61,41.65402</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.605,41.64382 -87.605,41.65402 -87.6,41.65402 -87.5952,41.65402 -87.595,41.65402 -87.5852,41.65402 -87.5852,41.65382 -87.585,41.65382 -87.585,41.64382 -87.595,41.64382 -87.5952,41.64382 -87.6,41.64382 -87.605,41.64382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.72,41.68382 -87.72,41.69382 -87.71,41.69382 -87.71,41.70402 -87.7202,41.70402 -87.7202,41.69402 -87.725,41.69402 -87.7252,41.69402 -87.7252,41.69882 -87.7252,41.69902 -87.7252,41.70382 -87.7252,41.70402 -87.7252,41.70902 -87.7252,41.71402 -87.7202,41.71402 -87.715,41.71402 -87.71,41.71402 -87.71,41.70902 -87.7052,41.70902 -87.705,41.70902 -87.7002,41.70902 -87.7,41.70902 -87.695,41.70902 -87.69,41.70902 -87.69,41.70402 -87.685,41.70402 -87.685,41.69382 -87.695,41.69382 -87.6952,41.69382 -87.7,41.69382 -87.7,41.68882 -87.7,41.68382 -87.705,41.68382 -87.705,41.67882 -87.7152,41.67882 -87.7152,41.68382 -87.72,41.68382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.725,41.67882 -87.725,41.68382 -87.72,41.68382 -87.72,41.67882 -87.725,41.67882</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5552,41.68402 -87.5552,41.67382 -87.5502,41.67382 -87.5502,41.66902 -87.5502,41.66882 -87.5502,41.65882 -87.5452,41.65882 -87.5452,41.65402 -87.5452,41.65382 -87.5452,41.64882 -87.5452,41.64382 -87.55,41.64382 -87.5502,41.64382 -87.555,41.64382 -87.555,41.65402 -87.56,41.65402 -87.56,41.65902 -87.5552,41.65902 -87.5552,41.66382 -87.56,41.66382 -87.56,41.67402 -87.5702,41.67402 -87.5702,41.66902 -87.5752,41.66902 -87.5752,41.66402 -87.5852,41.66402 -87.5852,41.66382 -87.5902,41.66382 -87.5902,41.67382 -87.5902,41.67402 -87.5902,41.68402 -87.58,41.68402 -87.58,41.67902 -87.5752,41.67902 -87.5752,41.68402 -87.5702,41.68402 -87.5702,41.68902 -87.56,41.68902 -87.56,41.68402 -87.5552,41.68402</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.52,41.67902 -87.525,41.67902 -87.53,41.67902 -87.5302,41.67902 -87.535,41.67902 -87.5352,41.67902 -87.54,41.67902 -87.54,41.68402 -87.545,41.68402 -87.5502,41.68402 -87.5552,41.68402 -87.5552,41.68882 -87.5552,41.68902 -87.5552,41.69402 -87.5552,41.69902 -87.5502,41.69902 -87.545,41.69902 -87.54,41.69902 -87.54,41.69402 -87.54,41.68902 -87.5352,41.68902 -87.535,41.68902 -87.53,41.68902 -87.525,41.68902 -87.525,41.68402 -87.52,41.68402 -87.52,41.67902</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.56,41.65902 -87.565,41.65902 -87.565,41.66382 -87.56,41.66382 -87.56,41.65902</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.88,41.96402 -87.885,41.96402 -87.89,41.96402 -87.89,41.96902 -87.895,41.96902 -87.9,41.96902 -87.9,41.97402 -87.905,41.97402 -87.91,41.97402 -87.9102,41.97402 -87.915,41.97402 -87.915,41.97882 -87.9102,41.97882 -87.91,41.97882 -87.9052,41.97882 -87.9002,41.97882 -87.9,41.97882 -87.8952,41.97882 -87.8952,41.97382 -87.885,41.97382 -87.885,41.98382 -87.88,41.98382 -87.875,41.98382 -87.875,41.98402 -87.87,41.98402 -87.87,41.97902 -87.865,41.97902 -87.865,41.96882 -87.87,41.96882 -87.875,41.96882 -87.8752,41.96882 -87.88,41.96882 -87.88,41.96402</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.885,41.99902 -87.89,41.99902 -87.89,42.00402 -87.885,42.00402 -87.885,41.99902</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.875,41.99402 -87.88,41.99402 -87.88,41.99902 -87.875,41.99902 -87.875,41.99402</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.6802,41.72382 -87.6802,41.72882 -87.6802,41.73402 -87.6802,41.73902 -87.67,41.73902 -87.67,41.73402 -87.67,41.72882 -87.67,41.72382 -87.6802,41.72382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.81,42.00882 -87.81,42.00382 -87.815,42.00382 -87.8202,42.00382 -87.8252,42.00382 -87.8252,42.01402 -87.8202,42.01402 -87.8202,42.01902 -87.8152,42.01902 -87.81,42.01902 -87.805,42.01902 -87.805,42.00882 -87.81,42.00882</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.8452,41.94882 -87.8452,41.95382 -87.85,41.95382 -87.8552,41.95382 -87.8602,41.95382 -87.8602,41.95882 -87.8602,41.96402 -87.8602,41.96902 -87.8552,41.96902 -87.8552,41.97402 -87.845,41.97402 -87.845,41.96902 -87.84,41.96902 -87.835,41.96902 -87.835,41.96402 -87.83,41.96402 -87.83,41.95402 -87.8202,41.95402 -87.82,41.95402 -87.81,41.95402 -87.81,41.94382 -87.82,41.94382 -87.8202,41.94382 -87.8302,41.94382 -87.8302,41.95382 -87.835,41.95382 -87.835,41.94882 -87.8452,41.94882</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
24;"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.6802,41.73402 -87.6802,41.72882 -87.6802,41.72382 -87.67,41.72382 -87.67,41.72882 -87.67,41.73402 -87.67,41.73902 -87.6802,41.73902 -87.6802,41.74402 -87.6752,41.74402 -87.6752,41.74902 -87.665,41.74902 -87.665,41.74402 -87.66,41.74402 -87.66,41.73402 -87.66,41.73382 -87.66,41.72902 -87.655,41.72902 -87.655,41.71882 -87.665,41.71882 -87.665,41.71382 -87.67,41.71382 -87.67,41.70902 -87.665,41.70902 -87.665,41.69882 -87.67,41.69882 -87.67,41.69402 -87.665,41.69402 -87.665,41.68382 -87.67,41.68382 -87.67,41.67882 -87.675,41.67882 -87.675,41.67382 -87.68,41.67382 -87.6852,41.67382 -87.6902,41.67382 -87.6902,41.67882 -87.6902,41.68382 -87.695,41.68382 -87.6952,41.68382 -87.7,41.68382 -87.7,41.68882 -87.7,41.69382 -87.6952,41.69382 -87.695,41.69382 -87.685,41.69382 -87.685,41.70402 -87.69,41.70402 -87.69,41.70902 -87.695,41.70902 -87.6952,41.70902 -87.6952,41.71402 -87.6902,41.71402 -87.6852,41.71402 -87.6852,41.71882 -87.6852,41.72382 -87.6852,41.72402 -87.6852,41.72902 -87.6852,41.73382 -87.69,41.73382 -87.695,41.73382 -87.6952,41.73382 -87.7,41.73382 -87.7002,41.73382 -87.705,41.73382 -87.7052,41.73382 -87.71,41.73382 -87.7102,41.73382 -87.715,41.73382 -87.7152,41.73382 -87.72,41.73382 -87.7202,41.73382 -87.725,41.73382 -87.7252,41.73382 -87.73,41.73382 -87.7302,41.73382 -87.735,41.73382 -87.7352,41.73382 -87.7402,41.73382 -87.7452,41.73382 -87.7452,41.74402 -87.7402,41.74402 -87.7402,41.74902 -87.73,41.74902 -87.73,41.74402 -87.7252,41.74402 -87.725,41.74402 -87.7202,41.74402 -87.7202,41.74902 -87.71,41.74902 -87.71,41.74402 -87.7052,41.74402 -87.705,41.74402 -87.7002,41.74402 -87.7002,41.74902 -87.6952,41.74902 -87.69,41.74902 -87.685,41.74902 -87.685,41.74402 -87.685,41.73882 -87.685,41.73402 -87.6802,41.73402</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.605,41.67402 -87.6152,41.67402 -87.6152,41.66902 -87.62,41.66902 -87.62,41.67402 -87.62,41.67902 -87.625,41.67902 -87.6302,41.67902 -87.6352,41.67902 -87.6352,41.67402 -87.6402,41.67402 -87.6402,41.66402 -87.6402,41.66382 -87.6402,41.65382 -87.6452,41.65382 -87.6502,41.65382 -87.6502,41.66402 -87.6452,41.66402 -87.6452,41.66882 -87.65,41.66882 -87.6502,41.66882 -87.6552,41.66882 -87.6602,41.66882 -87.6602,41.67902 -87.6552,41.67902 -87.6552,41.68402 -87.6552,41.68902 -87.6502,41.68902 -87.6502,41.69402 -87.6402,41.69402 -87.6402,41.69902 -87.6352,41.69902 -87.63,41.69902 -87.625,41.69902 -87.625,41.69402 -87.625,41.68902 -87.62,41.68902 -87.62,41.68402 -87.6152,41.68402 -87.615,41.68402 -87.61,41.68402 -87.605,41.68402 -87.605,41.67902 -87.605,41.67402</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5902,41.68402 -87.5902,41.67402 -87.5902,41.67382 -87.5902,41.66382 -87.5852,41.66382 -87.5852,41.65402 -87.595,41.65402 -87.5952,41.65402 -87.6,41.65402 -87.605,41.65402 -87.6052,41.65402 -87.61,41.65402 -87.61,41.65882 -87.605,41.65882 -87.605,41.66382 -87.605,41.66902 -87.605,41.67402 -87.6002,41.67402 -87.6002,41.67902 -87.5952,41.67902 -87.5952,41.68402 -87.5902,41.68402</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.52,41.68402 -87.525,41.68402 -87.525,41.68902 -87.53,41.68902 -87.535,41.68902 -87.5352,41.68902 -87.54,41.68902 -87.54,41.69402 -87.54,41.69902 -87.545,41.69902 -87.5502,41.69902 -87.5552,41.69902 -87.5552,41.69402 -87.5552,41.68902 -87.5552,41.68882 -87.5552,41.68402 -87.56,41.68402 -87.56,41.68902 -87.5702,41.68902 -87.5702,41.68402 -87.5752,41.68402 -87.5752,41.67902 -87.58,41.67902 -87.58,41.68402 -87.5902,41.68402 -87.5902,41.68902 -87.5852,41.68902 -87.5852,41.69402 -87.5802,41.69402 -87.5752,41.69402 -87.5752,41.69902 -87.5702,41.69902 -87.5702,41.70402 -87.5702,41.70882 -87.5752,41.70882 -87.5802,41.70882 -87.5802,41.71902 -87.5752,41.71902 -87.57,41.71902 -87.565,41.71902 -87.565,41.70902 -87.56,41.70902 -87.5552,41.70902 -87.5552,41.71402 -87.5502,41.71402 -87.5502,41.71882 -87.5552,41.71882 -87.5552,41.72902 -87.545,41.72902 -87.545,41.72402 -87.54,41.72402 -87.5352,41.72402 -87.5352,41.72882 -87.5352,41.73382 -87.5402,41.73382 -87.5402,41.73882 -87.5502,41.73882 -87.5502,41.74902 -87.54,41.74902 -87.54,41.74402 -87.5352,41.74402 -87.5352,41.74902 -87.5302,41.74902 -87.525,41.74902 -87.52,41.74902 -87.52,41.74402 -87.52,41.73902 -87.52,41.73882 -87.52,41.73402 -87.52,41.73382 -87.52,41.72902 -87.52,41.72882 -87.52,41.72402 -87.52,41.72382 -87.52,41.71902 -87.52,41.71882 -87.52,41.71402 -87.52,41.71382 -87.52,41.70882 -87.52,41.70382 -87.525,41.70382 -87.525,41.69902 -87.52,41.69902 -87.52,41.69402 -87.52,41.68902 -87.52,41.68882 -87.52,41.68402</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-87.535,41.72382 -87.535,41.71902 -87.5302,41.71902 -87.5302,41.72382 -87.535,41.72382</coordinates></LinearRing></innerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.585,41.64382 -87.585,41.65382 -87.575,41.65382 -87.575,41.65882 -87.5702,41.65882 -87.5702,41.65402 -87.5702,41.64882 -87.5702,41.64382 -87.575,41.64382 -87.5752,41.64382 -87.58,41.64382 -87.5802,41.64382 -87.585,41.64382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.56,41.65902 -87.56,41.66382 -87.5552,41.66382 -87.5552,41.65902 -87.56,41.65902</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.8252,42.00382 -87.8202,42.00382 -87.815,42.00382 -87.81,42.00382 -87.81,42.00882 -87.805,42.00882 -87.805,42.00402 -87.8002,42.00402 -87.8,42.00402 -87.795,42.00402 -87.7902,42.00402 -87.7902,42.01402 -87.7852,42.01402 -87.7802,42.01402 -87.78,42.01402 -87.775,42.01402 -87.77,42.01402 -87.77,42.00382 -87.775,42.00382 -87.775,41.99882 -87.7852,41.99882 -87.7852,42.00382 -87.79,42.00382 -87.79,41.99382 -87.795,41.99382 -87.8,41.99382 -87.8002,41.99382 -87.805,41.99382 -87.8052,41.99382 -87.81,41.99382 -87.81,41.98882 -87.815,41.98882 -87.815,41.98382 -87.825,41.98382 -87.825,41.97902 -87.825,41.97382 -87.825,41.96882 -87.835,41.96882 -87.835,41.96902 -87.8352,41.96902 -87.8352,41.97382 -87.84,41.97382 -87.84,41.96902 -87.845,41.96902 -87.845,41.97402 -87.8552,41.97402 -87.8552,41.96902 -87.8602,41.96902 -87.8602,41.96882 -87.865,41.96882 -87.865,41.97902 -87.8602,41.97902 -87.8602,41.98402 -87.8602,41.98902 -87.8552,41.98902 -87.8552,41.97882 -87.845,41.97882 -87.845,41.98902 -87.835,41.98902 -87.835,41.98402 -87.83,41.98402 -87.8252,41.98402 -87.8252,41.98882 -87.8252,41.99382 -87.8252,41.99402 -87.8252,41.99882 -87.8252,41.99902 -87.8252,42.00382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.8602,41.95382 -87.8552,41.95382 -87.85,41.95382 -87.8452,41.95382 -87.8452,41.94882 -87.835,41.94882 -87.835,41.95382 -87.8302,41.95382 -87.8302,41.94382 -87.8202,41.94382 -87.82,41.94382 -87.81,41.94382 -87.81,41.95402 -87.8102,41.95402 -87.8102,41.95902 -87.8052,41.95902 -87.8002,41.95902 -87.8,41.95902 -87.795,41.95902 -87.79,41.95902 -87.79,41.95402 -87.79,41.94902 -87.785,41.94902 -87.785,41.93882 -87.79,41.93882 -87.795,41.93882 -87.795,41.93382 -87.805,41.93382 -87.8052,41.93382 -87.81,41.93382 -87.815,41.93382 -87.8152,41.93382 -87.82,41.93382 -87.8202,41.93382 -87.825,41.93382 -87.8252,41.93382 -87.8302,41.93382 -87.8352,41.93382 -87.8352,41.93882 -87.84,41.93882 -87.84,41.93382 -87.8502,41.93382 -87.8502,41.93882 -87.8502,41.94382 -87.8552,41.94382 -87.8602,41.94382 -87.8602,41.95382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5352,41.75382 -87.5352,41.76402 -87.5302,41.76402 -87.525,41.76402 -87.52,41.76402 -87.52,41.75382 -87.525,41.75382 -87.5302,41.75382 -87.5352,41.75382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5502,41.75382 -87.5502,41.76402 -87.54,41.76402 -87.54,41.75382 -87.5502,41.75382</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5652,41.73882 -87.5652,41.74902 -87.555,41.74902 -87.555,41.73882 -87.5652,41.73882</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.6052,41.69382 -87.6052,41.70402 -87.595,41.70402 -87.595,41.69382 -87.6052,41.69382</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
