"grouping";"min";"new_geom"
6;21;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.7401,41.73756 -87.74135,41.73839 -87.81786,41.91841 -87.8251,41.93892 -87.8351,41.97892 -87.8351,41.98392 -87.83347,41.98664 -87.82146,41.99465 -87.82146,42.00665 -87.8201,42.00892 -87.8151,42.01392 -87.7051,42.01892 -87.6951,42.01892 -87.69334,42.01623 -87.65875,41.77411 -87.65881,41.77349 -87.6631,41.76063 -87.60532,41.77026 -87.6044,41.77009 -87.57983,41.75534 -87.55032,41.76026 -87.5501,41.76028 -87.52599,41.76028 -87.5251,41.75892 -87.5251,41.72565 -87.52872,41.70394 -87.5251,41.68585 -87.5251,41.64892 -87.6151,41.64892 -87.6224,41.65105 -87.63542,41.65756 -87.64472,41.65756 -87.64613,41.65797 -87.67551,41.67756 -87.6851,41.67756 -87.68537,41.67759 -87.71023,41.68256 -87.73044,41.68256 -87.7351,41.68392 -87.73646,41.68777 -87.73646,41.68892 -87.73606,41.68988 -87.72146,41.70448 -87.72146,41.70892 -87.72106,41.70988 -87.7201,41.71028 -87.71583,41.71028 -87.69764,41.73756 -87.7401,41.73756</coordinates></LinearRing></outerBoundaryIs></Polygon>"
13;21;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.6151,41.70392 -87.59554,41.72348 -87.5701,41.74892 -87.5401,41.75392 -87.53655,41.74326 -87.5251,41.70892 -87.5251,41.69392 -87.5351,41.64892 -87.6101,41.64892 -87.6151,41.70392</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;24;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.91373,41.95513 -87.91367,41.95535 -87.91407,41.95524 -87.9251,41.95892 -87.9351,41.96892 -87.9351,42.00392 -87.8951,42.00392 -87.88637,41.9981 -87.88653,41.99749 -87.88576,41.99769 -87.8801,41.99392 -87.87666,41.98703 -87.87668,41.98694 -87.8772,41.98642 -87.87668,41.9859 -87.87615,41.98392 -87.87653,41.98249 -87.8751,41.98287 -87.87449,41.98271 -87.8701,41.97392 -87.87367,41.97035 -87.8751,41.96997 -87.87708,41.9705 -87.8776,41.97102 -87.87812,41.9705 -87.8801,41.96997 -87.88153,41.97035 -87.88115,41.96892 -87.88168,41.96694 -87.8822,41.96642 -87.88168,41.9659 -87.88115,41.96392 -87.88153,41.96249 -87.8851,41.95892 -87.8951,41.95392 -87.9101,41.95392 -87.91373,41.95513</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3;24;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.82413,41.93892 -87.82413,41.94225 -87.8251,41.94323 -87.827,41.94133 -87.82621,41.93996 -87.82621,41.93892 -87.83579,41.93892 -87.83751,41.94063 -87.83705,41.93892 -87.8451,41.93892 -87.8551,41.94892 -87.85586,41.95274 -87.8551,41.95295 -87.8501,41.95295 -87.84959,41.95281 -87.84906,41.95281 -87.84889,41.95271 -87.84899,41.95288 -87.84899,41.95496 -87.84889,41.95513 -87.84906,41.95503 -87.85114,41.95503 -87.85263,41.95589 -87.85309,41.95543 -87.8551,41.95489 -87.85636,41.95523 -87.85852,41.966 -87.85711,41.96741 -87.8551,41.96795 -87.85472,41.96784 -87.85677,41.96989 -87.85929,41.96989 -87.8601,41.97392 -87.8551,41.98392 -87.8401,41.98392 -87.8301,41.97892 -87.82664,41.9668 -87.8301,41.96587 -87.83413,41.96695 -87.83707,41.96989 -87.83752,41.97156 -87.8401,41.97087 -87.84207,41.97139 -87.84225,41.97107 -87.84538,41.96795 -87.8451,41.96795 -87.84459,41.96781 -87.84406,41.96781 -87.8436,41.96754 -87.84309,41.96741 -87.84271,41.96703 -87.8426,41.96697 -87.84114,41.96781 -87.83906,41.96781 -87.83725,41.96677 -87.83225,41.96177 -87.83199,41.96131 -87.83161,41.96093 -87.83148,41.96042 -87.83121,41.95996 -87.83121,41.95996 -87.83121,41.95943 -87.83107,41.95892 -87.83107,41.95392 -87.83133,41.95295 -87.8301,41.95295 -87.82809,41.95241 -87.82763,41.95195 -87.82614,41.95281 -87.82406,41.95281 -87.82236,41.95183 -87.8201,41.94392 -87.8201,41.93892 -87.82413,41.93892</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6;24;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.73643,41.68885 -87.74142,41.73879 -87.74104,41.73986 -87.73662,41.74428 -87.80106,41.93759 -87.82463,41.93759 -87.8251,41.93892 -87.8251,41.94392 -87.82209,41.98306 -87.82143,41.98899 -87.82143,41.99163 -87.8201,42.00892 -87.8151,42.01392 -87.8101,42.01392 -87.7751,42.00892 -87.77416,42.00798 -87.77852,42.00362 -87.6593,41.72544 -87.56076,41.74515 -87.54604,41.75986 -87.5451,41.76025 -87.52643,41.76025 -87.5251,41.75892 -87.5251,41.64892 -87.6151,41.64892 -87.62832,41.65278 -87.64059,41.65769 -87.64069,41.65773 -87.68041,41.67759 -87.6851,41.67759 -87.68526,41.6776 -87.72518,41.68259 -87.73054,41.68259 -87.7351,41.68392 -87.73643,41.68769 -87.73643,41.68885</coordinates></LinearRing></outerBoundaryIs></Polygon>"
8;24;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.64673,41.73891 -87.6475,41.73248 -87.64674,41.72966 -87.63409,41.71221 -87.63298,41.71191 -87.62767,41.71049 -87.62708,41.7102 -87.62264,41.70679 -87.62247,41.70664 -87.61935,41.70352 -87.61891,41.70276 -87.61833,41.7006 -87.6183,41.70047 -87.59411,41.68799 -87.5907,41.68891 -87.57737,41.69551 -87.57549,41.69739 -87.57474,41.69783 -87.57306,41.69828 -87.57054,41.69895 -87.56966,41.69895 -87.56661,41.69813 -87.56617,41.69801 -87.54015,41.71424 -87.54013,41.71436 -87.5397,41.71598 -87.53805,41.71562 -87.5301,41.71392 -87.5301,41.66892 -87.5501,41.65392 -87.5851,41.64892 -87.6101,41.64892 -87.63304,41.65766 -87.65094,41.66448 -87.65129,41.66508 -87.65295,41.67128 -87.65354,41.67348 -87.6536,41.67392 -87.6536,41.6789 -87.6669,41.68177 -87.66935,41.67932 -87.6698,41.679 -87.67351,41.67716 -87.67382,41.67705 -87.67921,41.6756 -87.67966,41.67548 -87.67978,41.67546 -87.68398,41.67707 -87.7151,41.68892 -87.7151,41.70892 -87.70769,41.72375 -87.7001,41.73892 -87.6951,41.74392 -87.6701,41.74392 -87.64673,41.73891</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;27;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.8761,41.98912 -87.87573,41.98802 -87.87285,41.98295 -87.87129,41.98154 -87.87125,41.9815 -87.86855,41.97817 -87.86665,41.97689 -87.86649,41.9767 -87.86551,41.97434 -87.86548,41.97412 -87.86557,41.9734 -87.8589,41.96848 -87.85775,41.9671 -87.8551,41.96392 -87.8551,41.95892 -87.85966,41.95835 -87.85978,41.95881 -87.85978,41.95901 -87.87027,41.96923 -87.87501,41.96923 -87.88105,41.96657 -87.8811,41.96648 -87.88117,41.96642 -87.8811,41.96636 -87.88099,41.96616 -87.88042,41.96403 -87.88042,41.96381 -87.88099,41.96168 -87.8811,41.96148 -87.88117,41.96142 -87.8811,41.96136 -87.88099,41.96116 -87.88042,41.95903 -87.88042,41.95881 -87.88099,41.95668 -87.8811,41.95648 -87.88203,41.95555 -87.88272,41.95547 -87.88745,41.95488 -87.88754,41.95492 -87.8876,41.95499 -87.88766,41.95492 -87.88783,41.95483 -87.8951,41.95392 -87.9101,41.95392 -87.9251,41.95892 -87.9351,41.96892 -87.9351,42.00392 -87.8951,42.00392 -87.8861,41.99792 -87.8801,41.99392 -87.8761,41.98912</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3;27;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.81805,41.93265 -87.82069,41.93296 -87.8207,41.93296 -87.82546,41.93201 -87.82692,41.93211 -87.83386,41.93446 -87.83452,41.93478 -87.83831,41.93731 -87.83937,41.93703 -87.84083,41.93703 -87.84096,41.93706 -87.84234,41.94036 -87.8501,41.95892 -87.8501,41.98392 -87.83969,41.99284 -87.83094,42.00034 -87.8151,42.01392 -87.8101,42.01392 -87.80378,41.99689 -87.80525,41.99542 -87.80693,41.96343 -87.80471,41.96176 -87.80427,41.96136 -87.80102,41.95762 -87.80055,41.95688 -87.79848,41.95205 -87.79827,41.9506 -87.79878,41.94639 -87.7159,41.75999 -87.6951,41.70392 -87.7051,41.68892 -87.7101,41.68392 -87.7351,41.68392 -87.75409,41.72933 -87.81805,41.93265</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4;27;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.64143,41.66541 -87.67438,41.68565 -87.67506,41.68497 -87.67682,41.68321 -87.7051,41.69892 -87.7051,41.70392 -87.6751,41.73392 -87.65615,41.72786 -87.65432,41.72727 -87.65498,41.72481 -87.65566,41.72225 -87.65608,41.7207 -87.62466,41.68528 -87.62388,41.68512 -87.62388,41.68512 -87.6218,41.68469 -87.62068,41.68446 -87.59311,41.68677 -87.59298,41.68689 -87.59298,41.68689 -87.59127,41.68861 -87.59035,41.68912 -87.58896,41.68945 -87.58887,41.68949 -87.58876,41.6895 -87.58527,41.69033 -87.58432,41.69032 -87.58049,41.68929 -87.57391,41.6919 -87.56969,41.69418 -87.5691,41.69438 -87.56507,41.69507 -87.56132,41.69751 -87.55895,41.69675 -87.5501,41.69392 -87.5351,41.68392 -87.5351,41.65392 -87.5451,41.64892 -87.6151,41.64892 -87.63939,41.66241 -87.64158,41.66363 -87.64158,41.66373 -87.64157,41.66377 -87.64157,41.66412 -87.64158,41.66416 -87.64157,41.66429 -87.64157,41.66442 -87.64156,41.66446 -87.64152,41.66516 -87.64143,41.66541</coordinates></LinearRing></outerBoundaryIs></Polygon>"
5;27;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.6051,41.64892 -87.61605,41.65257 -87.61676,41.65281 -87.6351,41.65892 -87.6351,41.66892 -87.6301,41.67392 -87.60135,41.67751 -87.5501,41.68392 -87.5301,41.68392 -87.5251,41.67892 -87.5251,41.65026 -87.5251,41.64892 -87.52903,41.64892 -87.6051,41.64892</coordinates></LinearRing></outerBoundaryIs></Polygon>"
8;27;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.53906,41.66386 -87.53906,41.66563 -87.54044,41.66616 -87.54127,41.66754 -87.5451,41.67392 -87.5451,41.69392 -87.53763,41.68396 -87.5301,41.67392 -87.5301,41.64892 -87.53906,41.66386</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;30;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.83716,41.97119 -87.83717,41.97117 -87.83723,41.97111 -87.821,41.95529 -87.5351,41.67392 -87.5301,41.64892 -87.6101,41.64892 -87.7351,41.68392 -87.74579,41.69916 -87.84457,41.96661 -87.84966,41.96524 -87.85054,41.96524 -87.8568,41.96692 -87.8752,41.95722 -87.87638,41.95369 -87.87704,41.95281 -87.88438,41.94787 -87.88457,41.94776 -87.89053,41.94478 -87.89095,41.94463 -87.89527,41.94375 -87.89561,41.94372 -87.90492,41.9437 -87.91436,41.94166 -87.91572,41.9413 -87.9351,41.96892 -87.9351,42.00392 -87.8951,42.00392 -87.87363,41.99438 -87.8501,41.98392 -87.83716,41.97119</coordinates></LinearRing></outerBoundaryIs></Polygon>"
2;30;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5251,41.64892 -87.5301,41.65392 -87.5301,41.67392 -87.5251,41.65392 -87.5251,41.64892</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3;30;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5301,41.65892 -87.5251,41.66892 -87.5251,41.65892 -87.5301,41.65892</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4;30;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5301,41.66392 -87.5301,41.66892 -87.5251,41.67392 -87.5301,41.66392</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;33;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.88947,41.9501 -87.88948,41.95009 -87.89026,41.94963 -87.89077,41.9495 -87.89282,41.94639 -87.8935,41.94579 -87.89756,41.94376 -87.89845,41.94358 -87.90298,41.94385 -87.90343,41.94394 -87.90426,41.94421 -87.9301,41.96392 -87.9351,41.98392 -87.9351,41.99892 -87.9201,42.00392 -87.8951,42.00392 -87.88677,41.99649 -87.88491,41.99483 -87.88476,41.99227 -87.88494,41.99138 -87.88509,41.99107 -87.88464,41.98937 -87.88464,41.98847 -87.88581,41.98408 -87.88627,41.9833 -87.88948,41.98009 -87.89026,41.97963 -87.89465,41.97846 -87.8951,41.9784 -87.89839,41.9784 -87.90008,41.97784 -87.8985,41.97705 -87.89782,41.97645 -87.89626,41.97409 -87.89345,41.97426 -87.89256,41.97408 -87.8885,41.97205 -87.88782,41.97145 -87.88532,41.96766 -87.88503,41.9668 -87.88476,41.96227 -87.88494,41.96138 -87.88509,41.96107 -87.88464,41.95937 -87.88464,41.95847 -87.88494,41.95735 -87.55127,41.69726 -87.53149,41.67962 -87.5251,41.67392 -87.5251,41.66392 -87.5301,41.65892 -87.57976,41.69678 -87.88947,41.9501</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;36;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.92362,41.97781 -87.9251,41.97892 -87.9301,41.98392 -87.9351,41.99392 -87.90482,42.00257 -87.9001,42.00392 -87.89652,42.00392 -87.8951,42.00392 -87.8951,42.00266 -87.8951,41.98892 -87.90183,41.9721 -87.9051,41.96392 -87.90982,41.96746 -87.92362,41.97781</coordinates></LinearRing></outerBoundaryIs></Polygon>"
