"grouping";"min";"new_geom"
11;6;"<LineString><coordinates>-87.6151,41.72892 -87.6101,41.80392</coordinates></LineString>"
13;6;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.74146,41.75336 -87.76555,41.77744 -87.78983,41.77259 -87.7901,41.77256 -87.79912,41.77256 -87.8001,41.77392 -87.80146,41.78189 -87.80146,41.79392 -87.80106,41.79488 -87.79628,41.79967 -87.77165,41.86863 -87.80612,41.90802 -87.80623,41.90817 -87.82623,41.93817 -87.82646,41.93892 -87.82646,41.9487 -87.83359,41.9701 -87.8351,41.97892 -87.8351,41.98392 -87.83222,41.98873 -87.82146,41.99948 -87.82146,42.00665 -87.8201,42.00892 -87.8151,42.01392 -87.8086,42.01422 -87.78499,42.01028 -87.7751,42.01028 -87.77449,42.01014 -87.74517,41.99548 -87.70787,42.01879 -87.7051,42.01892 -87.6651,42.01892 -87.65961,42.00885 -87.65384,41.99443 -87.65381,41.99435 -87.64891,41.97965 -87.63741,41.96815 -87.6351,41.96392 -87.63374,41.96139 -87.63374,41.90892 -87.63376,41.9087 -87.63874,41.87881 -87.63874,41.87112 -87.63071,41.87514 -87.62977,41.87524 -87.60977,41.87024 -87.60914,41.86988 -87.60414,41.86488 -87.60374,41.86392 -87.60374,41.8493 -87.58902,41.82476 -87.58414,41.81988 -87.58377,41.81919 -87.57881,41.79442 -87.56421,41.77008 -87.52991,41.76028 -87.52583,41.76028 -87.5251,41.75892 -87.5251,41.64892 -87.6151,41.64892 -87.62862,41.65286 -87.64061,41.65766 -87.64092,41.65783 -87.66067,41.67265 -87.68537,41.67759 -87.71023,41.68256 -87.73044,41.68256 -87.7351,41.68392 -87.73597,41.68512 -87.72171,41.70888 -87.74123,41.73817 -87.74146,41.73892 -87.74146,41.75336</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;9;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.91373,41.95513 -87.91367,41.95535 -87.91407,41.95524 -87.9251,41.95892 -87.9351,41.96892 -87.9351,42.00392 -87.8951,42.00392 -87.88637,41.9981 -87.88653,41.99749 -87.88576,41.99769 -87.8801,41.99392 -87.87666,41.98703 -87.87668,41.98694 -87.8772,41.98642 -87.87668,41.9859 -87.87615,41.98392 -87.87653,41.98249 -87.8751,41.98287 -87.87449,41.98271 -87.8701,41.97392 -87.87367,41.97035 -87.8751,41.96997 -87.87708,41.9705 -87.8776,41.97102 -87.87812,41.9705 -87.8801,41.96997 -87.88153,41.97035 -87.88115,41.96892 -87.88168,41.96694 -87.8822,41.96642 -87.88168,41.9659 -87.88115,41.96392 -87.88153,41.96249 -87.8851,41.95892 -87.8951,41.95392 -87.9101,41.95392 -87.91373,41.95513</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3;9;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.85323,41.94518 -87.85316,41.94545 -87.85336,41.94545 -87.8551,41.94892 -87.85576,41.95221 -87.8551,41.95239 -87.8501,41.95239 -87.84836,41.95193 -87.8476,41.95116 -87.84734,41.95142 -87.84811,41.95218 -87.84857,41.95392 -87.84857,41.95545 -87.8501,41.95545 -87.85184,41.95591 -87.8526,41.95668 -87.85336,41.95591 -87.8551,41.95545 -87.85648,41.95582 -87.8583,41.96493 -87.85811,41.96566 -87.85684,41.96693 -87.8551,41.96739 -87.85336,41.96693 -87.8526,41.96616 -87.85234,41.96642 -87.85311,41.96718 -87.85357,41.96892 -87.85357,41.97045 -87.8551,41.97045 -87.85941,41.97045 -87.8601,41.97392 -87.85836,41.97739 -87.85816,41.97739 -87.85823,41.97766 -87.8551,41.98392 -87.8401,41.98392 -87.83693,41.97283 -87.83857,41.97239 -87.83905,41.97058 -87.83663,41.96993 -87.83589,41.9692 -87.83133,41.95321 -87.83163,41.95291 -87.83163,41.95239 -87.83109,41.95239 -87.8301,41.94892 -87.8301,41.93892 -87.8501,41.93892 -87.85323,41.94518</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6;9;"<LineString><coordinates>-87.6201,41.85892 -87.6151,41.64892</coordinates></LineString>"
11;9;"<LineString><coordinates>-87.5851,41.67892 -87.5751,41.65392</coordinates></LineString>"
12;9;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.74146,41.74392 -87.74146,41.753 -87.79036,41.77256 -87.79912,41.77256 -87.8001,41.77392 -87.80146,41.78189 -87.80146,41.79392 -87.80106,41.79488 -87.79629,41.79965 -87.77166,41.87355 -87.80606,41.90796 -87.80623,41.90817 -87.82623,41.93817 -87.82646,41.93892 -87.82646,41.94381 -87.83137,41.97327 -87.8347,41.9766 -87.8351,41.97892 -87.8351,41.98392 -87.83222,41.98873 -87.82146,41.99948 -87.82146,42.00665 -87.8201,42.00892 -87.8151,42.01392 -87.8086,42.01422 -87.78499,42.01028 -87.7751,42.01028 -87.77449,42.01014 -87.76494,42.00536 -87.71195,42.01861 -87.7051,42.01892 -87.6651,42.01892 -87.65961,42.00885 -87.65384,41.99443 -87.65381,41.99435 -87.64891,41.97965 -87.63741,41.96815 -87.6351,41.96392 -87.63374,41.96139 -87.63374,41.94392 -87.63392,41.94325 -87.65374,41.90856 -87.65374,41.89409 -87.64378,41.85425 -87.64374,41.85392 -87.64374,41.85112 -87.63571,41.85514 -87.63561,41.85518 -87.61061,41.86518 -87.6101,41.86528 -87.6051,41.86528 -87.60424,41.86497 -87.60377,41.86419 -87.59882,41.83945 -87.58897,41.82467 -87.58888,41.82453 -87.58388,41.81453 -87.58378,41.81425 -87.57887,41.79462 -87.54454,41.76028 -87.52583,41.76028 -87.5251,41.75892 -87.5251,41.64892 -87.6101,41.64892 -87.62231,41.65234 -87.63561,41.65766 -87.6358,41.65775 -87.66063,41.67265 -87.68038,41.67759 -87.71021,41.68256 -87.73024,41.68256 -87.7351,41.68392 -87.73597,41.68512 -87.72171,41.70888 -87.74123,41.73817 -87.74146,41.73892 -87.74146,41.74392</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;12;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.91373,41.95513 -87.91367,41.95535 -87.91407,41.95524 -87.9251,41.95892 -87.9351,41.96892 -87.9351,42.00392 -87.8951,42.00392 -87.88637,41.9981 -87.88653,41.99749 -87.88576,41.99769 -87.8801,41.99392 -87.87666,41.98703 -87.87668,41.98694 -87.8772,41.98642 -87.87668,41.9859 -87.87615,41.98392 -87.87653,41.98249 -87.8751,41.98287 -87.87449,41.98271 -87.8701,41.97392 -87.87367,41.97035 -87.8751,41.96997 -87.87708,41.9705 -87.8776,41.97102 -87.87812,41.9705 -87.8801,41.96997 -87.88153,41.97035 -87.88115,41.96892 -87.88168,41.96694 -87.8822,41.96642 -87.88168,41.9659 -87.88115,41.96392 -87.88153,41.96249 -87.8851,41.95892 -87.8951,41.95392 -87.9101,41.95392 -87.91373,41.95513</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3;12;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.85323,41.94518 -87.85316,41.94545 -87.85336,41.94545 -87.8551,41.94892 -87.85576,41.95221 -87.8551,41.95239 -87.8501,41.95239 -87.84836,41.95193 -87.8476,41.95116 -87.84734,41.95142 -87.84811,41.95218 -87.84857,41.95392 -87.84857,41.95545 -87.8501,41.95545 -87.85184,41.95591 -87.8526,41.95668 -87.85336,41.95591 -87.8551,41.95545 -87.85648,41.95582 -87.8583,41.96493 -87.85811,41.96566 -87.85684,41.96693 -87.8551,41.96739 -87.85336,41.96693 -87.8526,41.96616 -87.85234,41.96642 -87.85311,41.96718 -87.85357,41.96892 -87.85357,41.97045 -87.8551,41.97045 -87.85941,41.97045 -87.8601,41.97392 -87.85836,41.97739 -87.85816,41.97739 -87.85823,41.97766 -87.8551,41.98392 -87.8401,41.98392 -87.83693,41.97283 -87.83857,41.97239 -87.83905,41.97058 -87.83663,41.96993 -87.83589,41.9692 -87.83133,41.95321 -87.83163,41.95291 -87.83163,41.95239 -87.83109,41.95239 -87.8301,41.94892 -87.8301,41.93892 -87.8501,41.93892 -87.85323,41.94518</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6;12;"<LineString><coordinates>-87.5851,41.70392 -87.5851,41.70892</coordinates></LineString>"
