"weight";"grouping";"st_astext"
18;14;"POLYGON((41.91892 -87.8051,41.77392 -87.8001,41.64892 -87.5401,41.64892 -87.5301,41.67392 -87.5251,41.75392 -87.5351,42.01892 -87.6751,42.01892 -87.6901,41.99392 -87.7651,41.98392 -87.7851,41.97392 -87.7901,41.92392 -87.8051,41.91892 -87.8051))"
18;16;"POLYGON((41.65892 -87.5301,41.64892 -87.5251,41.67392 -87.5251,41.75892 -87.5301,41.65892 -87.5301))"
21;3;"POLYGON((41.93892 -87.8501,41.93892 -87.8351,41.98392 -87.8451,41.94392 -87.8501,41.93892 -87.8501))"
21;6;"POLYGON((41.98392 -87.8351,41.74392 -87.7401,41.67892 -87.6751,41.67392 -87.6601,41.65892 -87.5251,41.75892 -87.5251,42.01892 -87.6951,42.01892 -87.7051,42.00392 -87.7751,41.99392 -87.8101,41.98392 -87.8351))"
21;7;"POLYGON((41.68392 -87.6651,41.75392 -87.5251,41.75892 -87.5251,41.70892 -87.6651,41.68392 -87.6651))"
21;8;"POLYGON((41.98392 -87.8351,41.74392 -87.7401,41.67892 -87.6751,41.67392 -87.6601,41.65892 -87.5251,41.74892 -87.5651,42.01892 -87.6951,42.01892 -87.7051,42.00392 -87.7751,41.99392 -87.8101,41.98392 -87.8351))"
21;11;"LINESTRING(41.65892 -87.5251,41.75892 -87.5251)"
21;12;"LINESTRING(41.65892 -87.5251,41.75892 -87.5251)"
21;13;"POLYGON((41.98392 -87.8351,41.74392 -87.7401,41.67892 -87.6751,41.67392 -87.6601,41.67392 -87.6551,41.75392 -87.5251,42.01892 -87.6951,42.01892 -87.7051,42.00392 -87.7751,41.99392 -87.8101,41.98392 -87.8351))"
21;14;"POLYGON((41.98392 -87.8351,41.74392 -87.7401,41.67892 -87.6751,41.67392 -87.6601,41.67392 -87.6551,41.74892 -87.5651,41.75892 -87.5601,42.01892 -87.6951,42.01892 -87.7051,42.00392 -87.7751,41.99392 -87.8101,41.98392 -87.8351))"
21;16;"LINESTRING(41.65892 -87.5251,41.75892 -87.5251)"
24;1;"LINESTRING(41.97392 -87.8851,41.97892 -87.8801)"
24;3;"POLYGON((41.97392 -87.8601,41.94892 -87.8551,41.93892 -87.8451,41.93892 -87.8201,41.94392 -87.8201,41.97892 -87.8301,41.98392 -87.8401,41.98392 -87.8551,41.97392 -87.8601))"
24;4;"POLYGON((41.93892 -87.8251,41.68892 -87.7201,41.67892 -87.6801,41.68892 -87.6801,41.70892 -87.6851,42.00892 -87.7751,42.00892 -87.7851,42.00392 -87.8151,41.99392 -87.8201,41.94392 -87.8251,41.93892 -87.8251))"
24;6;"POLYGON((41.97892 -87.8351,41.93892 -87.8251,41.68392 -87.7351,41.67892 -87.6851,41.67892 -87.6801,41.68892 -87.6701,41.70392 -87.6701,42.00892 -87.7751,42.00892 -87.8101,42.00392 -87.8201,41.97892 -87.8351))"
24;7;"POLYGON((41.73892 -87.7251,41.68892 -87.7051,41.67892 -87.6851,41.68392 -87.6851,41.74392 -87.6901,41.73892 -87.7251))"
24;8;"POLYGON((41.97892 -87.8351,41.93892 -87.8251,41.68392 -87.7351,41.67892 -87.6851,41.67892 -87.6801,41.68892 -87.6701,41.70392 -87.6701,42.00892 -87.7751,42.00892 -87.8101,42.00392 -87.8201,41.97892 -87.8351))"
24;13;"POLYGON((41.97892 -87.8351,41.93892 -87.8251,41.68392 -87.7351,41.67892 -87.6851,41.67892 -87.6801,41.68892 -87.6701,41.70392 -87.6701,42.00892 -87.7751,42.00892 -87.8101,42.00392 -87.8201,41.97892 -87.8351))"
24;14;"POLYGON((41.97892 -87.8351,41.93892 -87.8251,41.68392 -87.7351,41.67892 -87.6851,41.67892 -87.6801,41.68892 -87.6701,41.70392 -87.6701,42.00892 -87.7751,42.00892 -87.8101,42.00392 -87.8201,41.97892 -87.8351))"
27;1;"POLYGON((41.97392 -87.9151,41.96392 -87.8901,41.95892 -87.8551,41.96392 -87.8551,41.99392 -87.8801,41.99892 -87.8901,41.98392 -87.9101,41.97892 -87.9151,41.97392 -87.9151))"
27;2;"POLYGON((41.95892 -87.8501,41.68892 -87.7301,41.68892 -87.7101,41.69892 -87.6901,42.01392 -87.8101,42.01392 -87.8151,42.00892 -87.8201,41.96892 -87.8501,41.95892 -87.8501))"
27;3;"POLYGON((41.95892 -87.8551,41.95392 -87.8401,41.94892 -87.8251,41.95892 -87.8351,41.96392 -87.8401,41.96892 -87.8501,41.96392 -87.8551,41.95892 -87.8551))"
27;4;"POLYGON((42.00892 -87.8151,41.69892 -87.7201,41.69392 -87.7051,41.69892 -87.7001,42.01392 -87.8101,42.01392 -87.8151,42.00892 -87.8151))"
27;6;"POLYGON((41.94892 -87.8251,41.68892 -87.7301,41.68892 -87.7101,41.69892 -87.6901,42.01392 -87.8101,42.01392 -87.8151,42.00892 -87.8201,41.94892 -87.8251))"
27;7;"POINT(41.69392 -87.7051)"
27;8;"POLYGON((41.94892 -87.8251,41.68892 -87.7301,41.68892 -87.7101,41.69892 -87.6901,42.01392 -87.8101,42.01392 -87.8151,42.00892 -87.8201,41.94892 -87.8251))"
27;13;"POLYGON((41.94892 -87.8251,41.68892 -87.7301,41.68892 -87.7101,41.69892 -87.6901,42.01392 -87.8101,42.01392 -87.8151,42.00892 -87.8201,41.94892 -87.8251))"
27;14;"POLYGON((41.94892 -87.8251,41.68892 -87.7301,41.68892 -87.7101,41.69892 -87.6901,42.01392 -87.8101,42.01392 -87.8151,42.00892 -87.8201,41.94892 -87.8251))"
30;1;"POLYGON((41.96892 -87.9351,41.95892 -87.9251,41.95392 -87.9101,41.95392 -87.8951,41.95892 -87.8851,41.98392 -87.8501,41.99392 -87.8851,42.00392 -87.9251,42.00392 -87.9351,41.96892 -87.9351))"
30;2;"POINT(41.98392 -87.8501)"
30;3;"POINT(41.98392 -87.8501)"
33;1;"POLYGON((41.98392 -87.9351,41.96392 -87.9301,41.95892 -87.9201,41.95392 -87.9001,41.95892 -87.8951,41.96392 -87.8951,42.00392 -87.9051,42.00392 -87.9201,41.99892 -87.9351,41.98392 -87.9351))"
36;1;"POLYGON((41.99392 -87.9351,41.98392 -87.9301,41.97892 -87.9251,41.96392 -87.9051,41.98892 -87.8951,42.00392 -87.8951,42.00392 -87.9001,41.99392 -87.9351))"
