name,latitude,longitude,weight,type
168,41.94392,-87.8201,1579,potential
169,41.94892,-87.8201,1611,potential
170,41.97892,-87.8201,1407,potential
171,41.98392,-87.8201,1366,potential
172,41.98892,-87.8201,1466,potential
173,41.99392,-87.8201,1505,potential
174,41.99892,-87.8201,1506,potential
175,42.00392,-87.8201,1550,potential
176,42.00892,-87.8201,1661,potential
177,41.93892,-87.8151,1512,potential
178,41.94392,-87.8151,1561,potential
179,41.94892,-87.8151,1628,potential
180,41.97892,-87.8151,1386,potential
181,41.98392,-87.8151,1430,potential
182,41.98892,-87.8151,1438,potential
183,41.99392,-87.8151,1473,potential
184,41.99892,-87.8151,1505,potential
185,42.00392,-87.8151,1576,potential
186,42.00892,-87.8151,1675,potential
187,42.01392,-87.8151,1647,potential
188,41.93892,-87.8101,1468,potential
189,41.94392,-87.8101,1505,potential
190,41.94892,-87.8101,1583,potential
191,41.97892,-87.8101,1328,potential
192,41.98392,-87.8101,1311,potential
193,41.98892,-87.8101,1425,potential
194,41.99392,-87.8101,1433,potential
195,41.99892,-87.8101,1460,potential
196,42.00392,-87.8101,1568,potential
197,42.00892,-87.8101,1616,potential
198,42.01392,-87.8101,1638,potential
199,41.90892,-87.8051,996,potential
200,41.91392,-87.8051,1070,potential
201,41.91892,-87.8051,1163,potential
202,41.92392,-87.8051,1179,potential
203,41.92892,-87.8051,1292,potential
204,41.93392,-87.8051,1357,potential
205,41.93892,-87.8051,1434,potential
206,41.94392,-87.8051,1504,potential
207,41.94892,-87.8051,1536,potential
208,41.95392,-87.8051,1471,potential
209,41.96892,-87.8051,1388,potential
210,41.97392,-87.8051,1383,potential
211,41.97892,-87.8051,1269,potential
212,41.98392,-87.8051,1322,potential
213,41.98892,-87.8051,1401,potential
214,41.99392,-87.8051,1420,potential
215,41.99892,-87.8051,1475,potential
216,41.77392,-87.8001,1080,potential
217,41.77892,-87.8001,1033,potential
218,41.78392,-87.8001,955,potential
219,41.78892,-87.8001,932,potential
220,41.79392,-87.8001,870,potential
221,41.91392,-87.8001,1119,potential
222,41.91892,-87.8001,1193,potential
223,41.92392,-87.8001,1254,potential
224,41.92892,-87.8001,1324,potential
225,41.93392,-87.8001,1399,potential
226,41.93892,-87.8001,1451,potential
227,41.94392,-87.8001,1519,potential
228,41.94892,-87.8001,1506,potential
229,41.95392,-87.8001,1494,potential
230,41.96892,-87.8001,1414,potential
231,41.97392,-87.8001,1329,potential
232,41.97892,-87.8001,1301,potential
233,41.98392,-87.8001,1298,potential
234,41.98892,-87.8001,1395,potential
235,41.99392,-87.8001,1391,potential
236,41.99892,-87.8001,1519,potential
237,41.77392,-87.7951,1115,potential
238,41.77892,-87.7951,1138,potential
239,41.78392,-87.7951,1020,potential
240,41.78892,-87.7951,980,potential
241,41.79392,-87.7951,928,potential
242,41.79892,-87.7951,971,potential
243,41.91392,-87.7951,1105,potential
244,41.91892,-87.7951,1166,potential
245,41.92392,-87.7951,1195,potential
246,41.92892,-87.7951,1289,potential
247,41.93392,-87.7951,1360,potential
248,41.93892,-87.7951,1431,potential
249,41.94392,-87.7951,1492,potential
250,41.94892,-87.7951,1473,potential
251,41.95392,-87.7951,1594,potential
252,41.95892,-87.7951,1406,potential
253,41.96892,-87.7951,1353,potential
254,41.97392,-87.7951,1294,potential
255,41.97892,-87.7951,1288,potential
256,41.98392,-87.7951,1301,potential
257,41.98892,-87.7951,1277,potential
258,41.99392,-87.7951,1409,potential
259,41.99892,-87.7951,1470,potential
260,41.77392,-87.7901,1145,potential
261,41.77892,-87.7901,1140,potential
262,41.78392,-87.7901,1087,potential
263,41.78892,-87.7901,1047,potential
264,41.79392,-87.7901,991,potential
265,41.79892,-87.7901,1021,potential
266,41.91392,-87.7901,1109,potential
267,41.91892,-87.7901,1112,potential
268,41.92392,-87.7901,1265,potential
269,41.92892,-87.7901,1238,potential
270,41.93392,-87.7901,1324,potential
271,41.93892,-87.7901,1408,potential
272,41.94392,-87.7901,1445,potential
273,41.94892,-87.7901,1353,potential
274,41.95392,-87.7901,1422,potential
275,41.95892,-87.7901,1398,potential
276,41.96892,-87.7901,1325,potential
277,41.97392,-87.7901,1241,potential
278,41.97892,-87.7901,1265,potential
279,41.98392,-87.7901,1283,potential
280,41.98892,-87.7901,1323,potential
281,41.99392,-87.7901,1390,potential
282,41.99892,-87.7901,1435,potential
283,41.77892,-87.7851,1172,potential
284,41.78392,-87.7851,1140,potential
285,41.78892,-87.7851,1084,potential
286,41.79392,-87.7851,1030,potential
287,41.79892,-87.7851,1045,potential
288,41.91392,-87.7851,1012,potential
289,41.91892,-87.7851,1072,potential
290,41.92392,-87.7851,1127,potential
291,41.92892,-87.7851,1229,potential
292,41.93392,-87.7851,1311,potential
293,41.93892,-87.7851,1358,potential
