latitude,longitude
41.894448,-87.662628
41.813031,-87.6099408
41.787997,-87.6988609
41.7356971,-87.6691584
41.668596,-87.639539
41.7912909,-87.6840098
41.9084358,-87.6932738
41.7936957,-87.6597521
41.851707,-87.64514
41.741809,-87.61514
41.87914,-87.7258
41.9057115,-87.6385461
41.8797736,-87.7232032
41.7793332,-87.6703052
41.7662483,-87.5762588
41.8752631,-87.7254817
41.899386,-87.6869988
41.844328,-87.7184497
41.864201,-87.7242179
41.877124,-87.7541789
41.864373,-87.709613
41.7218203,-87.6141653
41.9389753,-87.7442439
41.9097099,-87.763188
41.795756,-87.662546
41.899177,-87.722883
41.7882932,-87.6340465
41.8682975,-87.6971643
41.823823,-87.638799
41.823823,-87.638799
41.7669057,-87.6505296
41.874505,-87.732998
41.874505,-87.732998
41.697203,-87.542907
41.7584931,-87.609056
41.813577,-87.595376
41.8473428,-87.6122087
41.95149,-87.766593
41.8387101,-87.7268362
41.802318,-87.681986
41.7688089,-87.6469557
41.900972,-87.726575
41.8517584,-87.6858234
41.728458,-87.65711
41.773771,-87.66445
41.889793,-87.744628
41.8794999,-87.7452439
41.753104,-87.722566
41.7219498,-87.614088
41.9045779,-87.7141948
41.7518079,-87.578191
41.7767565,-87.6046425
41.7275198,-87.7344405
41.7883951,-87.6839641
41.840706,-87.707703
41.8737346,-87.701022
41.753519,-87.55594
41.754058,-87.650532
41.9139705,-87.6992175
41.8643068,-87.6588126
41.760101,-87.613037
41.7873261,-87.6276365
41.7486211,-87.6585424
41.749893,-87.55804
41.8534316,-87.6808992
41.76041,-87.591179
41.675952,-87.6349649
41.73648,-87.546567
41.907607,-87.709573
41.9536257,-87.7324512
41.7181334,-87.6528751
41.900385,-87.770791
41.9540867,-87.7106446
41.8140345,-87.6675334
41.8031274,-87.607935
41.6797297,-87.6311483
41.6818918,-87.637231
41.903296,-87.689658
41.800831,-87.589509
41.865388,-87.651289
41.771343,-87.58536
41.8547889,-87.7137238
41.684481,-87.616566
41.9223726,-87.7511767
41.809137,-87.620056
41.708567,-87.6444269
41.758297,-87.556802
41.77596,-87.6461684
41.7505529,-87.666037
41.751125,-87.6149489
41.7253291,-87.6290466
41.753744,-87.673584
41.7796208,-87.653296
41.7138819,-87.6676614
41.737028,-87.663479
41.7530339,-87.6077277
41.884292,-87.772342
41.8660286,-87.733753
41.896835,-87.7458617
41.770565,-87.640548
41.876652,-87.7455
41.838452,-87.6134946
41.97047,-87.705204
41.815812,-87.6675933
41.7647275,-87.6807116
41.7647275,-87.6807116
41.8877223,-87.7651288
41.90103,-87.7192929
41.8009796,-87.5917891
41.762254,-87.590011
41.9007622,-87.6517549
41.674252,-87.618088
41.6834281,-87.6684739
41.67223,-87.642099
41.69986,-87.6233246
41.7583138,-87.6490837
41.767002,-87.637531
41.751727,-87.583098
41.7394085,-87.6655961
41.742326,-87.579799
41.9126478,-87.7680428
41.771043,-87.6154592
41.8156718,-87.6821854
41.801006,-87.6915717
41.6852083,-87.6324954
41.7790555,-87.6958314
41.884914,-87.711327
41.763527,-87.626842
41.8777133,-87.7554234
41.790449,-87.6490479
41.8967195,-87.7607261
41.765974,-87.673715
41.8083122,-87.6905491
41.7843842,-87.7057128
41.772577,-87.6373503
41.8774778,-87.7617614
41.8460449,-87.718849
41.7513121,-87.6027422
41.910165,-87.728948
41.7598152,-87.6384967
41.8779027,-87.7304789
41.8368591,-87.7243688
41.9011887,-87.6894564
41.878113,-87.736089
41.933525,-87.744547
41.9320214,-87.7098626
41.889288,-87.621711
41.738926,-87.562744
41.7560006,-87.5882694
41.8338032,-87.6818626
41.761864,-87.615645
41.7589567,-87.5663944
41.757791,-87.642121
41.758792,-87.572825
41.7769868,-87.7131253
41.797484,-87.67352
41.797484,-87.67352
41.7590012,-87.5627582
41.682769,-87.625418
41.7589891,-87.5663645
41.704953,-87.644329
41.7142281,-87.6425386
41.9041451,-87.7484583
41.9096207,-87.7518066
41.735861,-87.6582229
41.752001,-87.565974
41.774726,-87.60979
41.781145,-87.665806
41.8737498,-87.6985738
41.761704,-87.623687
41.7912909,-87.6840098
42.0159666,-87.6724991
41.8647103,-87.6519496
41.8728861,-87.6960865
41.808335,-87.665913
41.892829,-87.719144
41.8589706,-87.713992
41.874652,-87.723238
41.7359047,-87.6557959
41.7789696,-87.7031471
41.775581,-87.6741569
41.771496,-87.571895
41.9081665,-87.7189724
41.8544173,-87.7248576
42.0193686,-87.6701341
41.7045545,-87.5657043
41.7905542,-87.6511199
41.8643666,-87.7214628
41.860715,-87.622041
41.7455975,-87.6356478
41.9063285,-87.7215286
41.740747,-87.560342
41.7647728,-87.6642786
41.6573374,-87.607543
41.896482,-87.6415951
41.682901,-87.659457
41.7497742,-87.574742
41.8822497,-87.7649441
41.866723,-87.705997
41.7567823,-87.5973617
41.753357,-87.567821
41.7939815,-87.6694954
41.794174,-87.674736
41.6815059,-87.6348061
41.752404,-87.63706
41.829439,-87.623538
41.7930191,-87.7329792
41.7488939,-87.6366793
41.7736469,-87.68248
41.676243,-87.6204412
41.676243,-87.6204412
41.788561,-87.648998
41.9004059,-87.768355
41.771043,-87.610909
41.752001,-87.565974
41.8419214,-87.6268808
41.899257,-87.714342
41.840336,-87.732076
41.840336,-87.732076
41.7608107,-87.5624725
41.740653,-87.567622
41.6752827,-87.6225383
41.728392,-87.661967
41.691611,-87.64983
41.913834,-87.72696
41.8802777,-87.76649
41.8662349,-87.717848
41.8708199,-87.7179882
41.7236896,-87.6289236
41.8797736,-87.7232032
41.7304434,-87.6556197
41.9654432,-87.6547885
41.78116,-87.66463
41.7723943,-87.6482616
41.828541,-87.667029
41.87914,-87.7258
41.7298742,-87.5513761
41.8736644,-87.7090018
41.781528,-87.6256159
41.787417,-87.664804
41.745765,-87.59447
41.7513788,-87.5942939
41.8012174,-87.6733143
41.825328,-87.646384
41.680839,-87.673201
41.9020613,-87.6373944
41.672095,-87.649372
41.777698,-87.649959
41.703335,-87.627318
41.7908674,-87.6329181
41.7748191,-87.6119167
41.757791,-87.642121
41.8020631,-87.6177667
41.9071354,-87.6773851
41.793401,-87.695171
41.744319,-87.555818
41.6518444,-87.6155971
41.709851,-87.5657639
41.705561,-87.626024
41.908893,-87.6751603
41.749417,-87.595797
41.7856761,-87.6157503
41.754094,-87.648099
41.89912,-87.7164321
41.750283,-87.6683039
41.7693415,-87.6141175
41.766499,-87.571117
41.773806,-87.67049
41.785044,-87.6452769
41.8661545,-87.6566819
41.866093,-87.7288572
41.763368,-87.630013
41.767711,-87.586805
41.766986,-87.6469101
41.7821453,-87.6108304
41.813121,-87.597405
41.8742448,-87.7646441
41.694375,-87.612547
41.6813719,-87.6469171
41.762245,-87.591219
41.8918589,-87.723872
41.773191,-87.5756059
41.773191,-87.5756059
41.773191,-87.5756059
41.731799,-87.6520263
41.878113,-87.736089
41.876652,-87.7455
41.7458043,-87.605008
41.7458043,-87.605008
41.703352,-87.624929
41.703352,-87.624929
41.8744285,-87.6744446
41.743161,-87.599649
41.7325823,-87.6386545
41.968589,-87.720866
41.7623367,-87.6540566
41.8608558,-87.7091765
41.878701,-87.757887
41.928513,-87.709773
41.6740432,-87.6395465
41.73769,-87.648881
41.922212,-87.771124
41.8833081,-87.7307566
41.775623,-87.668124
41.875704,-87.708574
41.775753,-87.660808
41.784474,-87.690234
41.760688,-87.659023
41.760688,-87.659023
41.735861,-87.6582229
41.7866139,-87.6728932
41.852062,-87.6831873
41.896286,-87.885353
41.787048,-87.6449799
41.7976879,-87.6038793
41.774827,-87.586693
