latitude,longitude,weight,grouping,type
41.95892,-87.8901,3,1,trauma
41.96392,-87.8901,3,1,trauma
41.96892,-87.8901,3,1,trauma
41.97392,-87.8901,3,1,trauma
41.97892,-87.8901,3,1,trauma
41.98392,-87.8901,3,1,trauma
41.98892,-87.8901,3,1,trauma
41.99392,-87.8901,3,1,trauma
41.99892,-87.8901,3,1,trauma
41.95892,-87.8851,3,1,trauma
41.96392,-87.8851,3,1,trauma
41.96892,-87.8851,3,1,trauma
41.97392,-87.8851,3,1,trauma
41.97892,-87.8851,3,1,trauma
41.98392,-87.8851,3,1,trauma
41.98892,-87.8851,3,1,trauma
41.99392,-87.8851,3,1,trauma
41.97392,-87.8801,3,1,trauma
41.97892,-87.8801,3,1,trauma
41.98392,-87.8801,3,1,trauma
41.98892,-87.8801,3,1,trauma
41.99392,-87.8801,3,1,trauma
41.97392,-87.8751,3,1,trauma
41.97892,-87.8751,3,1,trauma
41.97392,-87.8701,3,1,trauma
41.97892,-87.8401,3,3,trauma
41.98392,-87.8451,3,3,trauma
41.98392,-87.8401,3,3,trauma
41.95892,-87.8351,3,3,trauma
41.95392,-87.8351,3,3,trauma
41.95892,-87.8401,3,3,trauma
41.97392,-87.8451,3,3,trauma
41.97392,-87.8501,3,3,trauma
41.97892,-87.8501,3,3,trauma
41.98392,-87.8551,3,3,trauma
41.98392,-87.8501,3,3,trauma
41.95892,-87.8451,3,3,trauma
41.96392,-87.8451,3,3,trauma
41.97892,-87.8451,3,3,trauma
41.95392,-87.8401,3,3,trauma
41.96392,-87.8401,3,3,trauma
41.94892,-87.8401,3,3,trauma
41.95392,-87.8451,3,3,trauma
41.95892,-87.8551,3,3,trauma
41.96392,-87.8551,3,3,trauma
41.95892,-87.8501,3,3,trauma
41.96392,-87.8501,3,3,trauma
41.96892,-87.8501,3,3,trauma
41.97392,-87.8601,3,3,trauma
41.97392,-87.8551,3,3,trauma
41.97892,-87.8551,3,3,trauma
41.93892,-87.8451,3,3,trauma
41.94392,-87.8451,3,3,trauma
41.94892,-87.8551,3,3,trauma
41.94392,-87.8501,3,3,trauma
41.94892,-87.8501,3,3,trauma
41.93892,-87.8501,3,3,trauma
41.94892,-87.8451,3,3,trauma
41.93892,-87.8401,3,3,trauma
41.94392,-87.8401,3,3,trauma
41.93892,-87.8351,3,3,trauma
41.94392,-87.8351,3,3,trauma
41.94892,-87.8351,3,3,trauma
41.93892,-87.8301,3,3,trauma
41.94392,-87.8301,3,3,trauma
41.94892,-87.8301,3,3,trauma
41.85392,-87.6551,3,6,trauma
41.85892,-87.6551,3,6,trauma
41.89392,-87.6351,3,11,trauma
41.89892,-87.6301,3,11,trauma
41.67392,-87.5651,3,13,trauma
41.76892,-87.5651,3,13,trauma
41.64892,-87.5601,3,13,trauma
41.65392,-87.5601,3,13,trauma
41.65892,-87.5601,3,13,trauma
41.66392,-87.5601,3,13,trauma
41.66892,-87.5601,3,13,trauma
41.67392,-87.5601,3,13,trauma
41.67892,-87.5601,3,13,trauma
41.68392,-87.5601,3,13,trauma
41.69892,-87.5401,3,14,trauma
41.70392,-87.5401,3,14,trauma
41.70892,-87.5401,3,14,trauma
41.68892,-87.5401,3,14,trauma
41.68392,-87.5451,3,14,trauma
41.68892,-87.5451,3,14,trauma
41.69392,-87.5451,3,14,trauma
41.69892,-87.5451,3,14,trauma
41.70392,-87.5451,3,14,trauma
41.66392,-87.5401,3,14,trauma
41.66892,-87.5401,3,14,trauma
41.67392,-87.5401,3,14,trauma
41.67892,-87.5401,3,14,trauma
41.68392,-87.5401,3,14,trauma
41.69392,-87.5401,3,14,trauma
41.65392,-87.5401,3,14,trauma
41.67392,-87.5451,3,14,trauma
41.66392,-87.5501,3,14,trauma
41.66892,-87.5501,3,14,trauma
41.67392,-87.5501,3,14,trauma
41.67892,-87.5501,3,14,trauma
41.68392,-87.5501,3,14,trauma
41.68892,-87.5501,3,14,trauma
41.69392,-87.5501,3,14,trauma
41.64892,-87.5451,3,14,trauma
41.65392,-87.5451,3,14,trauma
41.65892,-87.5451,3,14,trauma
41.66392,-87.5451,3,14,trauma
41.66892,-87.5451,3,14,trauma
