,"  <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6135662,41.8024886,0</coordinates></Point></Placemark>",,,
33,"4200 W. Congress Pkwy Chicago, IL",41.874505,-87.732998," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.732998,41.874505,0</coordinates></Point></Placemark>"
34,"10900 S. Mackinaw Ave. Chicago, IL",41.697203,-87.542907," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.542907,41.697203,0</coordinates></Point></Placemark>"
35,"7500 S. Champlain Ave. Chicago, IL",41.7584931,-87.609056," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.609056,41.7584931,0</coordinates></Point></Placemark>"
36,"4500 S. Oakenwald Ave. Chicago, IL",41.813577,-87.595376," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.595376,41.813577,0</coordinates></Point></Placemark>"
37,"2400 S. Lake Shore Dr. Chicago, IL",41.8473428,-87.6122087," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6122087,41.8473428,0</coordinates></Point></Placemark>"
38,"3900 N. Central Ave. Chicago, IL",41.95149,-87.766593," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.766593,41.95149,0</coordinates></Point></Placemark>"
39,"4100 W. 30th St. Chicago, IL",41.8387101,-87.7268362," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7268362,41.8387101,0</coordinates></Point></Placemark>"
40,"2300 W. 50th Pl. Chicago, IL",41.802318,-87.681986," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.681986,41.802318,0</coordinates></Point></Placemark>"
41,"900 W. 69th St. Chicago, IL",41.7688089,-87.6469557," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6469557,41.7688089,0</coordinates></Point></Placemark>"
42,"1100 N. Pulaski Rd. Chicago, IL",41.900972,-87.726575," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.726575,41.900972,0</coordinates></Point></Placemark>"
43,"2200 S. Western Ave. Chicago, IL",41.8517584,-87.6858234," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6858234,41.8517584,0</coordinates></Point></Placemark>"
44,"9100 S. Ada St. Chicago, IL",41.728458,-87.65711," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.65711,41.728458,0</coordinates></Point></Placemark>"
45,"6600 S. Ashland Ave. Chicago, IL",41.773771,-87.66445," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.66445,41.773771,0</coordinates></Point></Placemark>"
46,"4800 W. Ferdinand St. Chicago, IL",41.889793,-87.744628," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.744628,41.889793,0</coordinates></Point></Placemark>"
47,"100 S. Cicero Ave. Chicago, IL",41.8794999,-87.7452439," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7452439,41.8794999,0</coordinates></Point></Placemark>"
48,"7700 S. Pulaski Rd. Chicago, IL",41.753104,-87.722566," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.722566,41.753104,0</coordinates></Point></Placemark>"
49,"400 E. 95th St. Chicago, IL",41.7219498,-87.614088," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.614088,41.7219498,0</coordinates></Point></Placemark>"
50,"1300 N. St. Louis Ave. Chicago, IL",41.9045779,-87.7141948," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7141948,41.9045779,0</coordinates></Point></Placemark>"
51,"1900 E. 79th St. Chicago, IL",41.7518079,-87.578191," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.578191,41.7518079,0</coordinates></Point></Placemark>"
52,"6500 S. Maryland Ave. Chicago, IL",41.7767565,-87.6046425," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6046425,41.7767565,0</coordinates></Point></Placemark>"
53,"1 W. 91st St. Chicago, IL",41.7275198,-87.7344405," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7344405,41.7275198,0</coordinates></Point></Placemark>"
54,"2400 W. 58th St. Chicago, IL",41.7883951,-87.6839641," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6839641,41.7883951,0</coordinates></Point></Placemark>"
