,"  <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6135662,41.8024886,0</coordinates></Point></Placemark>",,,
143,"1100 N. Campbell Ave. Chicago, IL",41.9011887,-87.6894564," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6894564,41.9011887,0</coordinates></Point></Placemark>"
144,"4400 W. Adams St. Chicago, IL",41.878113,-87.736089," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.736089,41.878113,0</coordinates></Point></Placemark>"
145,"2900 N. Kilpatrick Ave. Chicago, IL",41.933525,-87.744547," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.744547,41.933525,0</coordinates></Point></Placemark>"
146,"2800 N. Spaulding Ave. Chicago, IL",41.9320214,-87.7098626," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7098626,41.9320214,0</coordinates></Point></Placemark>"
147,"300 E. North Water St. Chicago, IL",41.889288,-87.621711," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.621711,41.889288,0</coordinates></Point></Placemark>"
148,"8600 S. Kingston Ave. Chicago, IL",41.738926,-87.562744," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.562744,41.738926,0</coordinates></Point></Placemark>"
149,"1500 E. 76th Pl. Chicago, IL",41.7560006,-87.5882694," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5882694,41.7560006,0</coordinates></Point></Placemark>"
150,"3300 S. Bell Ave. Chicago, IL",41.8338032,-87.6818626," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6818626,41.8338032,0</coordinates></Point></Placemark>"
151,"7300 S. King Dr. Chicago, IL",41.761864,-87.615645," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.615645,41.761864,0</coordinates></Point></Placemark>"
152,"7500 S. Yates Blvd. Chicago, IL",41.7589567,-87.5663944," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5663944,41.7589567,0</coordinates></Point></Placemark>"
153,"7500 S. Union Ave. Chicago, IL",41.757791,-87.642121," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.642121,41.757791,0</coordinates></Point></Placemark>"
154,"7500 S. Merrill Ave. Chicago, IL",41.758792,-87.572825," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.572825,41.758792,0</coordinates></Point></Placemark>"
155,"3600 W. 64th St. Chicago, IL",41.7769868,-87.7131253," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7131253,41.7769868,0</coordinates></Point></Placemark>"
156,"5300 S. Winchester Ave. Chicago, IL",41.797484,-87.67352," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.67352,41.797484,0</coordinates></Point></Placemark>"
157,"5300 S. Winchester Ave. Chicago, IL",41.797484,-87.67352," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.67352,41.797484,0</coordinates></Point></Placemark>"
158,"7500 S. Kingston Ave. Chicago, IL",41.7590012,-87.5627582," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5627582,41.7590012,0</coordinates></Point></Placemark>"
159,"100 W. 116th St. Chicago, IL",41.682769,-87.625418," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.625418,41.682769,0</coordinates></Point></Placemark>"
160,"2400 E. 75th St. Chicago, IL",41.7589891,-87.5663645," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5663645,41.7589891,0</coordinates></Point></Placemark>"
161,"10400 S. Green St. Chicago, IL",41.704953,-87.644329," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.644329,41.704953,0</coordinates></Point></Placemark>"
162,"800 W. 99th St. Chicago, IL",41.7142281,-87.6425386," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6425386,41.7142281,0</coordinates></Point></Placemark>"
163,"1300 N. Lamon Ave. Chicago, IL",41.9041451,-87.7484583," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7484583,41.9041451,0</coordinates></Point></Placemark>"
164,"5000 W. North Ave. Chicago, IL",41.9096207,-87.7518066," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7518066,41.9096207,0</coordinates></Point></Placemark>"
165,"8700 S. Loomis St. Chicago, IL",41.735861,-87.6582229," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6582229,41.735861,0</coordinates></Point></Placemark>"
166,"2400 E. 79th St. Chicago, IL",41.752001,-87.565974," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.565974,41.752001,0</coordinates></Point></Placemark>"
167,"6600 S. Champlain Ave. Chicago, IL",41.774726,-87.60979," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.60979,41.774726,0</coordinates></Point></Placemark>"
168,"6200 S. Marshfield Ave. Chicago, IL",41.781145,-87.665806," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.665806,41.781145,0</coordinates></Point></Placemark>"
169,"600 S. Francisco Ave. Chicago, IL",41.8737498,-87.6985738," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6985738,41.8737498,0</coordinates></Point></Placemark>"
170,"7300 S. Wabash Ave. Chicago, IL",41.761704,-87.623687," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.623687,41.761704,0</coordinates></Point></Placemark>"
171,"5600 S. Western Ave. Chicago, IL",41.7912909,-87.6840098," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6840098,41.7912909,0</coordinates></Point></Placemark>"
172,"7400 N. Paulina St. Chicago, IL",42.0159666,-87.6724991," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6724991,42.0159666,0</coordinates></Point></Placemark>"
173,"1000 W. Maxwell St. Chicago, IL",41.8647103,-87.6519496," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6519496,41.8647103,0</coordinates></Point></Placemark>"
174,"2800 W. Flournoy St. Chicago, IL",41.8728861,-87.6960865," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6960865,41.8728861,0</coordinates></Point></Placemark>"
175,"4700 S. Ashland Ave. Chicago, IL",41.808335,-87.665913," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.665913,41.808335,0</coordinates></Point></Placemark>"
176,"600 N. Lawndale Ave. Chicago, IL",41.892829,-87.719144," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.719144,41.892829,0</coordinates></Point></Placemark>"
177,"1600 S. Drake Ave. Chicago, IL",41.8589706,-87.713992," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.713992,41.8589706,0</coordinates></Point></Placemark>"
178,"3900 W. Congress Parkway Chicago, IL",41.874652,-87.723238," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.723238,41.874652,0</coordinates></Point></Placemark>"
179,"8700 S. Throop St. Chicago, IL",41.7359047,-87.6557959," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6557959,41.7359047,0</coordinates></Point></Placemark>"
180,"6300 S. Kedzie Ave. Chicago, IL",41.7789696,-87.7031471," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7031471,41.7789696,0</coordinates></Point></Placemark>"
181,"6500 S. Damen Ave. Chicago, IL",41.775581,-87.6741569," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6741569,41.775581,0</coordinates></Point></Placemark>"
182,"6800 S. Paxton Ave. Chicago, IL",41.771496,-87.571895," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.571895,41.771496,0</coordinates></Point></Placemark>"
183,"3700 W. LeMoyne St. Chicago, IL",41.9081665,-87.7189724," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7189724,41.9081665,0</coordinates></Point></Placemark>"
184,"4000 W. Cullerton St. Chicago, IL",41.8544173,-87.7248576," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7248576,41.8544173,0</coordinates></Point></Placemark>"
185,"1600 W. Howard St. Chicago, IL",42.0193686,-87.6701341," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6701341,42.0193686,0</coordinates></Point></Placemark>"
186,"10500 S. Oglesby Ave. Chicago, IL",41.7045545,-87.5657043," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5657043,41.7045545,0</coordinates></Point></Placemark>"
187,"5700 S. Carpenter St. Chicago, IL",41.7905542,-87.6511199," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6511199,41.7905542,0</coordinates></Point></Placemark>"
188,"1300 S. Avers Ave. Chicago, IL",41.8643666,-87.7214628," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7214628,41.8643666,0</coordinates></Point></Placemark>"
189,"200 E. 15th St. Chicago, IL",41.860715,-87.622041," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.622041,41.860715,0</coordinates></Point></Placemark>"
190,"8100 S. Vincennes Ave. Chicago, IL",41.7455975,-87.6356478," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6356478,41.7455975,0</coordinates></Point></Placemark>"
191,"3800 W. Hirsch St. Chicago, IL",41.9063285,-87.7215286," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7215286,41.9063285,0</coordinates></Point></Placemark>"
192,"8500 S. Saginaw Ave. Chicago, IL",41.740747,-87.560342," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.560342,41.740747,0</coordinates></Point></Placemark>"
193,"7100 S. Ashland Ave. Chicago, IL",41.7647728,-87.6642786," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6642786,41.7647728,0</coordinates></Point></Placemark>"
194,"600 E. 131st St. Chicago, IL",41.6573374,-87.607543," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.607543,41.6573374,0</coordinates></Point></Placemark>"
195,"800 N. Cambridge Ave. Chicago, IL",41.896482,-87.6415951," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6415951,41.896482,0</coordinates></Point></Placemark>"
196,"11600 S. Laflin Ave. Chicago, IL",41.682901,-87.659457," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.659457,41.682901,0</coordinates></Point></Placemark>"
197,"8000 S. Chappel Ave. Chicago, IL",41.7497742,-87.574742," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.574742,41.7497742,0</coordinates></Point></Placemark>"
198,"5600 W. Washington Blvd. Chicago, IL",41.8822497,-87.7649441," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7649441,41.8822497,0</coordinates></Point></Placemark>"
199,"3200 W. Roosevelt Rd. Chicago, IL",41.866723,-87.705997," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.705997,41.866723,0</coordinates></Point></Placemark>"
200,"7600 S. Greenwood Ave. Chicago, IL",41.7567823,-87.5973617," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5973617,41.7567823,0</coordinates></Point></Placemark>"
201,"7800 S. Oglesby Ave. Chicago, IL",41.753357,-87.567821," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.567821,41.753357,0</coordinates></Point></Placemark>"
202,"1800 W. Garfield Blvd. Chicago, IL",41.7939815,-87.6694954," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6694954,41.7939815,0</coordinates></Point></Placemark>"
203,"2000 W. Garfield Blvd. Chicago, IL",41.794174,-87.674736," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.674736,41.794174,0</coordinates></Point></Placemark>"
204,"11700 S. Normal Ave. Chicago, IL",41.6815059,-87.6348061," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6348061,41.6815059,0</coordinates></Point></Placemark>"
205,"7800 S. Normal Ave. Chicago, IL",41.752404,-87.63706," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.63706,41.752404,0</coordinates></Point></Placemark>"
206,"3600 S. Michigan Ave. Chicago, IL",41.829439,-87.623538," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.623538,41.829439,0</coordinates></Point></Placemark>"
207,"5500 S. Kostner Ave. Chicago, IL",41.7930191,-87.7329792," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7329792,41.7930191,0</coordinates></Point></Placemark>"
208,"8000 S. Normal Ave. Chicago, IL",41.7488939,-87.6366793," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6366793,41.7488939,0</coordinates></Point></Placemark>"
209,"6600 S. Claremont Ave. Chicago, IL",41.7736469,-87.68248," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.68248,41.7736469,0</coordinates></Point></Placemark>"
210,"100 E. 120th St. Chicago, IL",41.676243,-87.6204412," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6204412,41.676243,0</coordinates></Point></Placemark>"
211,"100 E. 120th St. Chicago, IL",41.676243,-87.6204412," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6204412,41.676243,0</coordinates></Point></Placemark>"
212,"5800 S. Sangamon St. Chicago, IL",41.788561,-87.648998," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.648998,41.788561,0</coordinates></Point></Placemark>"
213,"1100 N. Waller Ave. Chicago, IL",41.9004059,-87.768355," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.768355,41.9004059,0</coordinates></Point></Placemark>"
214,"6800 S. St. Lawrence Ave. Chicago, IL",41.771043,-87.610909," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.610909,41.771043,0</coordinates></Point></Placemark>"
215,"2400 E. 79th St. Chicago, IL",41.752001,-87.565974," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.565974,41.752001,0</coordinates></Point></Placemark>"
216,"2900 S. State St. Chicago, IL",41.8419214,-87.6268808," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6268808,41.8419214,0</coordinates></Point></Placemark>"
217,"1000 N. St. Louis Ave. Chicago, IL",41.899257,-87.714342," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.714342,41.899257,0</coordinates></Point></Placemark>"
218,"2800 S. Kildare Ave. Chicago, IL",41.840336,-87.732076," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.732076,41.840336,0</coordinates></Point></Placemark>"
219,"2800 S. Kildare Ave. Chicago, IL",41.840336,-87.732076," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.732076,41.840336,0</coordinates></Point></Placemark>"
220,"7400 S. Colfax Ave. Chicago, IL",41.7608107,-87.5624725," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5624725,41.7608107,0</coordinates></Point></Placemark>"
221,"8500 S. Oglesby Ave. Chicago, IL",41.740653,-87.567622," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.567622,41.740653,0</coordinates></Point></Placemark>"
222,"1 E. 120th Pl. Chicago, IL",41.6752827,-87.6225383," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6225383,41.6752827,0</coordinates></Point></Placemark>"
223,"9100 S. Justine St. Chicago, IL",41.728392,-87.661967," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.661967,41.728392,0</coordinates></Point></Placemark>"
224,"1100 W. 111th Pl. Chicago, IL",41.691611,-87.64983," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.64983,41.691611,0</coordinates></Point></Placemark>"
225,"1800 N. Pulaski Rd. Chicago, IL",41.913834,-87.72696," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.72696,41.913834,0</coordinates></Point></Placemark>"
226,"1 S. Parkside Ave. Chicago, IL",41.8802777,-87.76649," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.76649,41.8802777,0</coordinates></Point></Placemark>"
227,"1200 S. Lawndale Ave. Chicago, IL",41.8662349,-87.717848," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.717848,41.8662349,0</coordinates></Point></Placemark>"
228,"800 S. Lawndale Ave. Chicago, IL",41.8708199,-87.7179882," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7179882,41.8708199,0</coordinates></Point></Placemark>"
229,"200 W. 94th St. Chicago, IL",41.7236896,-87.6289236," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6289236,41.7236896,0</coordinates></Point></Placemark>"
230,"100 S. Springfield Ave. Chicago, IL",41.8797736,-87.7232032," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7232032,41.8797736,0</coordinates></Point></Placemark>"
231,"1300 W. 90th St. Chicago, IL",41.7304434,-87.6556197," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6556197,41.7304434,0</coordinates></Point></Placemark>"
232,"1000 W. Wilson Ave. Chicago, IL",41.9654432,-87.6547885," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6547885,41.9654432,0</coordinates></Point></Placemark>"
233,"6200 S. Ashland Ave. Chicago, IL",41.78116,-87.66463," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.66463,41.78116,0</coordinates></Point></Placemark>"
234,"6700 S. Sangamon St. Chicago, IL",41.7723943,-87.6482616," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6482616,41.7723943,0</coordinates></Point></Placemark>"
235,"3600 S. Marshfield Ave. Chicago, IL",41.828541,-87.667029," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.667029,41.828541,0</coordinates></Point></Placemark>"
236,"4000 W. Wilcox St. Chicago, IL",41.87914,-87.7258," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7258,41.87914,0</coordinates></Point></Placemark>"
237,"9100 S. Commercial Ave. Chicago, IL",41.7298742,-87.5513761," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5513761,41.7298742,0</coordinates></Point></Placemark>"
238,"3300 W. Harrison St. Chicago, IL",41.8736644,-87.7090018," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7090018,41.8736644,0</coordinates></Point></Placemark>"
239,"6200 S. State St. Chicago, IL",41.781528,-87.6256159," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6256159,41.781528,0</coordinates></Point></Placemark>"
240,"1600 W. 59th St. Chicago, IL",41.787417,-87.664804," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.664804,41.787417,0</coordinates></Point></Placemark>"
241,"8200 S. Avalon Ave. Chicago, IL",41.745765,-87.59447," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.59447,41.745765,0</coordinates></Point></Placemark>"
242,"7900 S. Avalon Ave. Chicago, IL",41.7513788,-87.5942939," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5942939,41.7513788,0</coordinates></Point></Placemark>"
243,"5100 S. Winchester Ave. Chicago, IL",41.8012174,-87.6733143," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6733143,41.8012174,0</coordinates></Point></Placemark>"
244,"3800 S. Halsted St. Chicago, IL",41.825328,-87.646384," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.646384,41.825328,0</coordinates></Point></Placemark>"
245,"11700 S. Hale Ave. Chicago, IL",41.680839,-87.673201," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.673201,41.680839,0</coordinates></Point></Placemark>"
246,"1100 N. Orleans St. Chicago, IL",41.9020613,-87.6373944," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6373944,41.9020613,0</coordinates></Point></Placemark>"
247,"12200 S. Aberdeen St. Chicago, IL",41.672095,-87.649372," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.649372,41.672095,0</coordinates></Point></Placemark>"
248,"6400 S. Morgan St. Chicago, IL",41.777698,-87.649959," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.649959,41.777698,0</coordinates></Point></Placemark>"
249,"10500 S. La Salle St. Chicago, IL",41.703335,-87.627318," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.627318,41.703335,0</coordinates></Point></Placemark>"
250,"5700 S. Princeton Ave. Chicago, IL",41.7908674,-87.6329181," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6329181,41.7908674,0</coordinates></Point></Placemark>"
251,"6600 S. Rhodes Ave. Chicago, IL",41.7748191,-87.6119167," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6119167,41.7748191,0</coordinates></Point></Placemark>"
252,"7500 S. Union Ave. Chicago, IL",41.757791,-87.642121," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.642121,41.757791,0</coordinates></Point></Placemark>"
253,"5100 S. Calumet Ave. Chicago, IL",41.8020631,-87.6177667," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6177667,41.8020631,0</coordinates></Point></Placemark>"
254,"1400 N. Damen Ave. Chicago, IL",41.9071354,-87.6773851," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6773851,41.9071354,0</coordinates></Point></Placemark>"
255,"5500 S. Mozart St. Chicago, IL",41.793401,-87.695171," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.695171,41.793401,0</coordinates></Point></Placemark>"
256,"8300 S. Baltimore Ave. Chicago, IL",41.744319,-87.555818," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.555818,41.744319,0</coordinates></Point></Placemark>"
257,"300 E. 134th St. Chicago, IL",41.6518444,-87.6155971," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6155971,41.6518444,0</coordinates></Point></Placemark>"
258,"10200 S. Oglesby Ave. Chicago, IL",41.709851,-87.5657639," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5657639,41.709851,0</coordinates></Point></Placemark>"
259,"100 W. 104th St. Chicago, IL",41.705561,-87.626024," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.626024,41.705561,0</coordinates></Point></Placemark>"
260,"1500 N. Milwaukee Ave. Chicago, IL",41.908893,-87.6751603," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6751603,41.908893,0</coordinates></Point></Placemark>"
261,"8000 S. Woodlawn Ave. Chicago, IL",41.749417,-87.595797," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.595797,41.749417,0</coordinates></Point></Placemark>"
262,"6000 S. King Dr. Chicago, IL",41.7856761,-87.6157503," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6157503,41.7856761,0</coordinates></Point></Placemark>"
263,"7700 S. Sangamon St. Chicago, IL",41.754094,-87.648099," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.648099,41.754094,0</coordinates></Point></Placemark>"
264,"3600 W. Augusta Blvd. Chicago, IL",41.89912,-87.7164321," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7164321,41.89912,0</coordinates></Point></Placemark>"
265,"7900 S. Wood St. Chicago, IL",41.750283,-87.6683039," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6683039,41.750283,0</coordinates></Point></Placemark>"
266,"6900 S. Vernon Ave. Chicago, IL",41.7693415,-87.6141175," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6141175,41.7693415,0</coordinates></Point></Placemark>"
267,"2200 E. 71st St. Chicago, IL",41.766499,-87.571117," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.571117,41.766499,0</coordinates></Point></Placemark>"
268,"6600 S. Honore St. Chicago, IL",41.773806,-87.67049," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.67049,41.773806,0</coordinates></Point></Placemark>"
269,"6000 S. Halsted St. Chicago, IL",41.785044,-87.6452769," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6452769,41.785044,0</coordinates></Point></Placemark>"
270,"1200 W. Washburne Ave. Chicago, IL",41.8661545,-87.6566819," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6566819,41.8661545,0</coordinates></Point></Placemark>"
271,"1200 S. Kedvale Ave. Chicago, IL",41.866093,-87.7288572," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7288572,41.866093,0</coordinates></Point></Placemark>"
272,"7200 S. Wentworth Ave. Chicago, IL",41.763368,-87.630013," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.630013,41.763368,0</coordinates></Point></Placemark>"
273,"7000 S. Stony Island Ave. Chicago, IL",41.767711,-87.586805," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.586805,41.767711,0</coordinates></Point></Placemark>"
274,"900 W. 70th St. Chicago, IL",41.766986,-87.6469101," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6469101,41.766986,0</coordinates></Point></Placemark>"
275,"600 E. 62nd St. Chicago, IL",41.7821453,-87.6108304," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6108304,41.7821453,0</coordinates></Point></Placemark>"
276,"4500 S. Woodlawn Ave. Chicago, IL",41.813121,-87.597405," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.597405,41.813121,0</coordinates></Point></Placemark>"
277,"400 S. Central Ave. Chicago, IL",41.8742448,-87.7646441," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7646441,41.8742448,0</coordinates></Point></Placemark>"
278,"11000 S. Vernon Ave. Chicago, IL",41.694375,-87.612547," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.612547,41.694375,0</coordinates></Point></Placemark>"
279,"11700 S. Morgan St. Chicago, IL",41.6813719,-87.6469171," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6469171,41.6813719,0</coordinates></Point></Placemark>"
280,"7300 S. Dorchester Ave. Chicago, IL",41.762245,-87.591219," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.591219,41.762245,0</coordinates></Point></Placemark>"
281,"600 N. Springfield Ave. Chicago, IL",41.8918589,-87.723872," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.723872,41.8918589,0</coordinates></Point></Placemark>"
282,"6700 S. Chappel Ave. Chicago, IL",41.773191,-87.5756059," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5756059,41.773191,0</coordinates></Point></Placemark>"
283,"6700 S. Chappel Ave. Chicago, IL",41.773191,-87.5756059," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5756059,41.773191,0</coordinates></Point></Placemark>"
284,"6700 S. Chappel Ave. Chicago, IL",41.773191,-87.5756059," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5756059,41.773191,0</coordinates></Point></Placemark>"
285,"8900 S. May St. Chicago, IL",41.731799,-87.6520263," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6520263,41.731799,0</coordinates></Point></Placemark>"
286,"4400 W. Adams St. Chicago, IL",41.878113,-87.736089," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.736089,41.878113,0</coordinates></Point></Placemark>"
287,"300 S. Cicero Ave. Chicago, IL",41.876652,-87.7455," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7455,41.876652,0</coordinates></Point></Placemark>"
