name,latitude,longitude,weight,type
160,41.97392,-87.8301,1460,trauma
161,41.97892,-87.8301,1472,trauma
162,41.98392,-87.8301,1397,trauma
163,41.93892,-87.8251,1517,trauma
164,41.94392,-87.8251,1578,trauma
165,41.94892,-87.8251,1632,trauma
166,41.98392,-87.8251,1342,trauma
167,41.93892,-87.8201,1548,trauma
168,41.94392,-87.8201,1579,trauma
169,41.94892,-87.8201,1611,trauma
170,41.97892,-87.8201,1407,trauma
171,41.98392,-87.8201,1366,trauma
172,41.98892,-87.8201,1466,trauma
173,41.99392,-87.8201,1505,trauma
174,41.99892,-87.8201,1506,trauma
175,42.00392,-87.8201,1550,trauma
176,42.00892,-87.8201,1661,trauma
177,41.93892,-87.8151,1512,trauma
178,41.94392,-87.8151,1561,trauma
179,41.94892,-87.8151,1628,trauma
180,41.97892,-87.8151,1386,trauma
181,41.98392,-87.8151,1430,trauma
182,41.98892,-87.8151,1438,trauma
183,41.99392,-87.8151,1473,trauma
184,41.99892,-87.8151,1505,trauma
185,42.00392,-87.8151,1576,trauma
186,42.00892,-87.8151,1675,trauma
187,42.01392,-87.8151,1647,trauma
188,41.93892,-87.8101,1468,trauma
189,41.94392,-87.8101,1505,trauma
190,41.94892,-87.8101,1583,trauma
191,41.97892,-87.8101,1328,trauma
192,41.98392,-87.8101,1311,trauma
193,41.98892,-87.8101,1425,trauma
194,41.99392,-87.8101,1433,trauma
195,41.99892,-87.8101,1460,trauma
196,42.00392,-87.8101,1568,trauma
197,42.00892,-87.8101,1616,trauma
198,42.01392,-87.8101,1638,trauma
199,41.90892,-87.8051,996,trauma
200,41.91392,-87.8051,1070,trauma
201,41.91892,-87.8051,1163,trauma
202,41.92392,-87.8051,1179,trauma
203,41.92892,-87.8051,1292,trauma
204,41.93392,-87.8051,1357,trauma
205,41.93892,-87.8051,1434,trauma
206,41.94392,-87.8051,1504,trauma
207,41.94892,-87.8051,1536,trauma
208,41.95392,-87.8051,1471,trauma
209,41.96892,-87.8051,1388,trauma
210,41.97392,-87.8051,1383,trauma
211,41.97892,-87.8051,1269,trauma
212,41.98392,-87.8051,1322,trauma
213,41.98892,-87.8051,1401,trauma
214,41.99392,-87.8051,1420,trauma
215,41.99892,-87.8051,1475,trauma
216,41.77392,-87.8001,1080,trauma
217,41.77892,-87.8001,1033,trauma
218,41.78392,-87.8001,955,trauma
219,41.78892,-87.8001,932,trauma
220,41.79392,-87.8001,870,trauma
221,41.91392,-87.8001,1119,trauma
222,41.91892,-87.8001,1193,trauma
223,41.92392,-87.8001,1254,trauma
224,41.92892,-87.8001,1324,trauma
225,41.93392,-87.8001,1399,trauma
226,41.93892,-87.8001,1451,trauma
227,41.94392,-87.8001,1519,trauma
228,41.94892,-87.8001,1506,trauma
229,41.95392,-87.8001,1494,trauma
230,41.96892,-87.8001,1414,trauma
231,41.97392,-87.8001,1329,trauma
232,41.97892,-87.8001,1301,trauma
233,41.98392,-87.8001,1298,trauma
234,41.98892,-87.8001,1395,trauma
235,41.99392,-87.8001,1391,trauma
236,41.99892,-87.8001,1519,trauma
237,41.77392,-87.7951,1115,trauma
238,41.77892,-87.7951,1138,trauma
239,41.78392,-87.7951,1020,trauma
240,41.78892,-87.7951,980,trauma
241,41.79392,-87.7951,928,trauma
242,41.79892,-87.7951,971,trauma
243,41.91392,-87.7951,1105,trauma
244,41.91892,-87.7951,1166,trauma
245,41.92392,-87.7951,1195,trauma
246,41.92892,-87.7951,1289,trauma
247,41.93392,-87.7951,1360,trauma
248,41.93892,-87.7951,1431,trauma
249,41.94392,-87.7951,1492,trauma
250,41.94892,-87.7951,1473,trauma
251,41.95392,-87.7951,1594,trauma
252,41.95892,-87.7951,1406,trauma
253,41.96892,-87.7951,1353,trauma
254,41.97392,-87.7951,1294,trauma
255,41.97892,-87.7951,1288,trauma
256,41.98392,-87.7951,1301,trauma
257,41.98892,-87.7951,1277,trauma
258,41.99392,-87.7951,1409,trauma
259,41.99892,-87.7951,1470,trauma
260,41.77392,-87.7901,1145,trauma
261,41.77892,-87.7901,1140,trauma
262,41.78392,-87.7901,1087,trauma
263,41.78892,-87.7901,1047,trauma
264,41.79392,-87.7901,991,trauma
265,41.79892,-87.7901,1021,trauma
266,41.91392,-87.7901,1109,trauma
267,41.91892,-87.7901,1112,trauma
268,41.92392,-87.7901,1265,trauma
269,41.92892,-87.7901,1238,trauma
270,41.93392,-87.7901,1324,trauma
271,41.93892,-87.7901,1408,trauma
272,41.94392,-87.7901,1445,trauma
273,41.94892,-87.7901,1353,trauma
274,41.95392,-87.7901,1422,trauma
275,41.95892,-87.7901,1398,trauma
276,41.96892,-87.7901,1325,trauma
277,41.97392,-87.7901,1241,trauma
278,41.97892,-87.7901,1265,trauma
279,41.98392,-87.7901,1283,trauma
280,41.98892,-87.7901,1323,trauma
281,41.99392,-87.7901,1390,trauma
282,41.99892,-87.7901,1435,trauma
283,41.77892,-87.7851,1172,trauma
284,41.78392,-87.7851,1140,trauma
285,41.78892,-87.7851,1084,trauma
286,41.79392,-87.7851,1030,trauma
287,41.79892,-87.7851,1045,trauma
288,41.91392,-87.7851,1012,trauma
289,41.91892,-87.7851,1072,trauma
290,41.92392,-87.7851,1127,trauma
291,41.92892,-87.7851,1229,trauma
292,41.93392,-87.7851,1311,trauma
293,41.93892,-87.7851,1358,trauma
294,41.94392,-87.7851,1404,trauma
295,41.94892,-87.7851,1364,trauma
296,41.95392,-87.7851,1311,trauma
297,41.95892,-87.7851,1336,trauma
298,41.96392,-87.7851,1325,trauma
299,41.96892,-87.7851,1291,trauma
300,41.97392,-87.7851,1240,trauma
301,41.97892,-87.7851,1232,trauma
302,41.98392,-87.7851,1258,trauma
303,41.98892,-87.7851,1342,trauma
304,41.99392,-87.7851,1342,trauma
305,41.99892,-87.7851,1410,trauma
306,42.00892,-87.7851,1472,trauma
307,41.77892,-87.7801,1208,trauma
308,41.78392,-87.7801,1145,trauma
309,41.78892,-87.7801,1105,trauma
310,41.79392,-87.7801,1013,trauma
311,41.79892,-87.7801,948,trauma
312,41.91392,-87.7801,1010,trauma
313,41.91892,-87.7801,1039,trauma
314,41.92392,-87.7801,1138,trauma
315,41.92892,-87.7801,1170,trauma
316,41.93392,-87.7801,1256,trauma
317,41.93892,-87.7801,1326,trauma
318,41.94392,-87.7801,1408,trauma
319,41.94892,-87.7801,1334,trauma
320,41.95392,-87.7801,1310,trauma
321,41.95892,-87.7801,1276,trauma
322,41.96392,-87.7801,1284,trauma
323,41.96892,-87.7801,1205,trauma
324,41.97392,-87.7801,1182,trauma
325,41.97892,-87.7801,1228,trauma
326,41.98392,-87.7801,1296,trauma
327,41.98892,-87.7801,1288,trauma
328,41.99392,-87.7801,1425,trauma
329,41.99892,-87.7801,1298,trauma
330,42.00392,-87.7801,1448,trauma
331,42.00892,-87.7801,1514,trauma
332,41.77892,-87.7751,1201,trauma
333,41.78392,-87.7751,1112,trauma
334,41.78892,-87.7751,1029,trauma
335,41.79392,-87.7751,942,trauma
336,41.79892,-87.7751,910,trauma
337,41.89392,-87.7751,702,trauma
338,41.89892,-87.7751,762,trauma
339,41.90392,-87.7751,849,trauma
340,41.90892,-87.7751,900,trauma
341,41.91392,-87.7751,938,trauma
342,41.91892,-87.7751,1034,trauma
343,41.92392,-87.7751,1058,trauma
344,41.92892,-87.7751,1134,trauma
345,41.93392,-87.7751,1215,trauma
346,41.93892,-87.7751,1268,trauma
347,41.94392,-87.7751,1345,trauma
348,41.94892,-87.7751,1281,trauma
349,41.95392,-87.7751,1265,trauma
350,41.95892,-87.7751,1240,trauma
351,41.96392,-87.7751,1226,trauma
352,41.96892,-87.7751,1195,trauma
353,41.97392,-87.7751,1146,trauma
354,41.97892,-87.7751,1181,trauma
355,41.98392,-87.7751,1299,trauma
356,41.98892,-87.7751,1323,trauma
357,41.99392,-87.7751,1405,trauma
358,41.99892,-87.7751,1276,trauma
359,42.00392,-87.7751,1429,trauma
360,42.00892,-87.7751,1464,trauma
361,41.77892,-87.7701,1111,trauma
362,41.78392,-87.7701,1096,trauma
363,41.78892,-87.7701,1018,trauma
364,41.79392,-87.7701,931,trauma
365,41.79892,-87.7701,871,trauma
366,41.86892,-87.7701,505,trauma
367,41.87392,-87.7701,557,trauma
368,41.87892,-87.7701,574,trauma
369,41.88392,-87.7701,676,trauma
370,41.88892,-87.7701,744,trauma
371,41.89392,-87.7701,759,trauma
372,41.89892,-87.7701,900,trauma
373,41.90392,-87.7701,905,trauma
374,41.90892,-87.7701,945,trauma
375,41.91392,-87.7701,1006,trauma
376,41.91892,-87.7701,1068,trauma
377,41.92392,-87.7701,1060,trauma
378,41.92892,-87.7701,1152,trauma
379,41.93392,-87.7701,1236,trauma
380,41.93892,-87.7701,1249,trauma
381,41.94392,-87.7701,1334,trauma
382,41.94892,-87.7701,1236,trauma
383,41.95392,-87.7701,1224,trauma
384,41.95892,-87.7701,1229,trauma
385,41.96392,-87.7701,1167,trauma
386,41.96892,-87.7701,1157,trauma
387,41.97392,-87.7701,1145,trauma
388,41.97892,-87.7701,1199,trauma
389,41.98392,-87.7701,1221,trauma
390,41.98892,-87.7701,1282,trauma
391,41.99392,-87.7701,1307,trauma
392,41.99892,-87.7701,1270,trauma
393,42.00392,-87.7701,1364,trauma
394,41.77892,-87.7651,1076,trauma
395,41.78392,-87.7651,1015,trauma
396,41.78892,-87.7651,1000,trauma
397,41.79392,-87.7651,915,trauma
398,41.79892,-87.7651,830,trauma
399,41.86892,-87.7651,506,trauma
400,41.87392,-87.7651,434,trauma
401,41.87892,-87.7651,508,trauma
402,41.88392,-87.7651,572,trauma
403,41.88892,-87.7651,629,trauma
404,41.89392,-87.7651,683,trauma
405,41.89892,-87.7651,778,trauma
406,41.90392,-87.7651,836,trauma
407,41.90892,-87.7651,876,trauma
408,41.91392,-87.7651,970,trauma
409,41.91892,-87.7651,973,trauma
410,41.92392,-87.7651,1156,trauma
411,41.92892,-87.7651,1135,trauma
412,41.93392,-87.7651,1217,trauma
413,41.93892,-87.7651,1227,trauma
414,41.94392,-87.7651,1294,trauma
415,41.94892,-87.7651,1177,trauma
416,41.95392,-87.7651,1092,trauma
417,41.95892,-87.7651,1149,trauma
418,41.96392,-87.7651,1142,trauma
419,41.96892,-87.7651,1118,trauma
420,41.97392,-87.7651,1159,trauma
421,41.97892,-87.7651,1217,trauma
422,41.98392,-87.7651,1196,trauma
423,41.98892,-87.7651,1294,trauma
424,41.99392,-87.7651,1214,trauma
425,41.99892,-87.7651,1263,trauma
426,42.00392,-87.7651,1352,trauma
427,41.77892,-87.7601,1067,trauma
428,41.78392,-87.7601,998,trauma
429,41.78892,-87.7601,998,trauma
430,41.79392,-87.7601,887,trauma
431,41.79892,-87.7601,837,trauma
432,41.86892,-87.7601,438,trauma
433,41.87392,-87.7601,525,trauma
434,41.87892,-87.7601,620,trauma
435,41.88392,-87.7601,655,trauma
436,41.88892,-87.7601,707,trauma
437,41.89392,-87.7601,794,trauma
438,41.89892,-87.7601,829,trauma
439,41.90392,-87.7601,909,trauma
440,41.90892,-87.7601,964,trauma
441,41.91392,-87.7601,1043,trauma
442,41.91892,-87.7601,1072,trauma
443,41.92392,-87.7601,1112,trauma
444,41.92892,-87.7601,1178,trauma
445,41.93392,-87.7601,1268,trauma
446,41.93892,-87.7601,1199,trauma
447,41.94392,-87.7601,1253,trauma
448,41.94892,-87.7601,1165,trauma
449,41.95392,-87.7601,1120,trauma
450,41.95892,-87.7601,1096,trauma
451,41.96392,-87.7601,1126,trauma
452,41.96892,-87.7601,1018,trauma
453,41.97392,-87.7601,1138,trauma
454,41.97892,-87.7601,1149,trauma
455,41.98392,-87.7601,1337,trauma
456,41.98892,-87.7601,1180,trauma
457,41.99392,-87.7601,1184,trauma
458,41.99892,-87.7601,1274,trauma
459,41.77892,-87.7551,1107,trauma
460,41.78392,-87.7551,1000,trauma
461,41.78892,-87.7551,1007,trauma
462,41.79392,-87.7551,960,trauma
463,41.79892,-87.7551,921,trauma
464,41.86892,-87.7551,368,trauma
465,41.87392,-87.7551,558,trauma
466,41.87892,-87.7551,539,trauma
467,41.88392,-87.7551,585,trauma
468,41.88892,-87.7551,633,trauma
469,41.89392,-87.7551,740,trauma
470,41.89892,-87.7551,798,trauma
471,41.90392,-87.7551,870,trauma
472,41.90892,-87.7551,933,trauma
473,41.91392,-87.7551,997,trauma
474,41.91892,-87.7551,1048,trauma
475,41.92392,-87.7551,1067,trauma
476,41.92892,-87.7551,1164,trauma
477,41.93392,-87.7551,1195,trauma
478,41.93892,-87.7551,1110,trauma
479,41.94392,-87.7551,1232,trauma
480,41.94892,-87.7551,1141,trauma
481,41.95392,-87.7551,1117,trauma
482,41.95892,-87.7551,1049,trauma
483,41.96392,-87.7551,1060,trauma
484,41.96892,-87.7551,1052,trauma
485,41.97392,-87.7551,1089,trauma
486,41.97892,-87.7551,1135,trauma
487,41.98392,-87.7551,1221,trauma
488,41.98892,-87.7551,1196,trauma
489,41.99392,-87.7551,1218,trauma
490,41.77892,-87.7501,1123,trauma
491,41.78392,-87.7501,1159,trauma
492,41.78892,-87.7501,1018,trauma
493,41.79392,-87.7501,1030,trauma
494,41.79892,-87.7501,882,trauma
495,41.80392,-87.7501,816,trauma
496,41.80892,-87.7501,801,trauma
497,41.81392,-87.7501,599,trauma
498,41.86892,-87.7501,457,trauma
499,41.87392,-87.7501,516,trauma
500,41.87892,-87.7501,514,trauma
501,41.88392,-87.7501,565,trauma
502,41.88892,-87.7501,655,trauma
503,41.89392,-87.7501,713,trauma
504,41.89892,-87.7501,778,trauma
505,41.90392,-87.7501,824,trauma
506,41.90892,-87.7501,889,trauma
507,41.91392,-87.7501,956,trauma
508,41.91892,-87.7501,1028,trauma
509,41.92392,-87.7501,1047,trauma
510,41.92892,-87.7501,1143,trauma
511,41.93392,-87.7501,1186,trauma
512,41.93892,-87.7501,1065,trauma
